 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.411,102.484,109.271
2,109.895,102.316,108.957
3,110.113,102.413,109.147
4,102.750,102.276,109.180
5,104.188,102.523,109.205
6,104.673,102.384,109.410
7,105.263,102.419,109.328
8,105.616,102.284,108.915
9,105.716,102.568,109.164
10,105.905,102.541,109.417
11,106.342,102.568,109.079
12,106.654,102.538,108.622
13,106.652,102.476,109.164
14,106.814,102.669,109.709
15,106.937,102.524,109.427
16,107.255,102.416,109.352
17,107.409,102.682,109.547
18,107.549,102.536,109.607
19,107.982,102.456,109.384
20,107.792,102.659,109.402
21,107.717,102.379,109.463
22,107.636,102.488,108.900
23,107.929,102.496,109.354
24,107.665,102.425,109.108
25,108.193,102.491,108.890
26,107.888,102.449,109.119
27,108.012,102.618,109.179
28,107.837,102.617,109.108
29,108.013,102.649,109.194
30,107.920,102.223,109.403
31,108.163,102.518,109.446
32,108.358,102.592,109.154
33,108.397,102.500,108.941
34,108.625,102.618,109.088
35,108.222,102.598,109.187
36,108.632,102.513,109.146
37,108.263,102.477,109.411
38,108.555,102.652,109.714
39,108.609,102.691,109.382
40,108.365,102.535,109.473
41,108.450,102.603,109.250
42,108.710,102.603,109.602
43,108.727,102.590,109.659
44,108.744,102.566,109.717
45,108.618,102.563,109.193
46,108.690,102.573,109.401
47,108.305,102.781,109.745
48,108.171,102.497,109.411
49,108.200,102.406,109.388
50,108.186,102.455,109.670
51,108.127,102.453,109.826
52,108.528,102.538,109.566
53,108.358,102.490,109.682
54,108.719,102.662,109.926
55,108.361,102.541,109.677
56,108.512,102.523,109.452
57,108.530,102.435,109.359
58,108.670,102.591,109.509
59,108.381,102.643,109.212
60,108.806,102.507,109.146
61,108.500,102.468,109.545
62,108.758,102.629,109.229
63,108.765,102.559,109.276
64,108.265,102.502,109.511
