 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,107.661,99.949,106.032
2,107.818,99.800,105.893
3,107.441,99.859,106.265
4,101.320,99.888,105.991
5,102.596,99.727,106.219
6,103.467,99.888,105.639
7,103.924,99.881,105.817
8,105.108,99.945,106.045
9,105.280,100.079,106.040
10,105.697,99.816,106.061
11,105.771,99.819,105.660
12,105.704,99.856,105.529
13,106.178,99.886,105.600
14,105.972,99.804,105.535
15,106.302,99.939,106.032
16,106.008,99.768,105.370
17,106.281,99.917,105.696
18,106.292,99.719,105.974
19,105.870,99.758,105.678
20,105.941,99.806,105.449
21,106.594,99.900,105.730
22,107.045,99.801,105.556
23,106.856,99.866,105.769
24,107.230,99.841,106.430
25,107.745,99.767,106.712
26,107.968,99.875,106.491
27,107.888,99.865,107.021
28,107.763,99.798,106.543
29,107.743,99.891,105.671
30,107.762,99.924,105.865
31,107.988,99.912,106.076
32,107.689,99.852,105.847
33,107.571,99.853,106.504
34,107.974,99.825,106.249
35,107.950,99.848,106.083
36,107.055,99.813,106.291
37,106.879,99.701,105.901
38,107.317,99.829,106.742
39,106.584,99.893,106.235
40,107.365,99.632,106.410
41,107.947,99.883,106.544
42,107.354,99.702,106.419
43,107.816,99.814,106.748
44,107.701,99.796,106.049
45,107.425,99.966,106.146
46,107.865,99.963,106.706
47,107.512,99.907,105.942
48,107.798,99.911,105.830
49,107.763,99.882,105.846
50,108.235,99.863,106.173
51,108.442,99.731,106.125
52,108.161,99.866,106.899
53,108.323,99.874,106.383
54,108.267,99.781,106.032
55,108.341,99.854,106.325
56,109.323,99.919,106.334
57,109.284,99.867,105.736
58,109.234,99.773,106.058
59,110.081,99.899,106.170
60,108.697,99.973,106.276
61,109.164,99.901,106.323
62,109.142,99.996,106.223
63,109.054,99.975,106.326
64,109.453,99.885,106.468
