 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,109.793,102.420,109.546
2,109.244,102.548,109.787
3,109.636,102.590,109.108
4,102.933,102.441,108.965
5,104.382,102.376,108.780
6,104.986,102.535,108.998
7,105.608,102.443,109.199
8,105.780,102.483,109.217
9,106.423,102.573,109.007
10,106.569,102.688,109.253
11,107.001,102.665,109.393
12,106.735,102.508,109.315
13,106.853,102.641,109.194
14,106.891,102.554,109.176
15,107.075,102.545,109.464
16,107.187,102.539,108.847
17,107.246,102.708,108.843
18,107.402,102.568,108.875
19,107.942,102.488,109.065
20,108.130,102.537,109.068
21,107.772,102.533,109.330
22,107.578,102.515,109.136
23,107.605,102.667,108.994
24,107.759,102.645,108.900
25,107.835,102.690,108.919
26,107.892,102.513,108.733
27,107.806,102.719,108.706
28,107.546,102.809,108.487
29,108.445,102.522,108.427
30,107.900,102.650,108.865
31,107.646,102.565,108.964
32,107.773,102.493,109.139
33,108.279,102.595,108.751
34,108.012,102.663,108.965
35,108.962,102.512,109.089
36,108.149,102.674,109.283
37,108.254,102.731,108.974
38,107.968,102.644,109.104
39,107.911,102.552,109.195
40,107.784,102.650,109.124
41,108.146,102.613,109.033
42,108.290,102.732,108.847
43,108.862,102.741,109.398
44,108.982,102.883,109.372
45,108.662,102.842,109.214
46,108.464,102.537,109.406
47,108.436,102.653,108.887
48,108.232,102.560,108.828
49,108.181,102.618,108.879
50,108.270,102.625,108.717
51,108.624,102.810,108.976
52,108.359,102.743,109.341
53,108.469,102.622,109.363
54,108.322,102.721,109.162
55,108.347,102.657,108.905
56,107.561,102.568,109.171
57,107.840,102.728,109.030
58,108.799,102.620,109.183
59,107.826,102.574,109.393
60,108.556,102.632,108.776
61,108.288,102.735,109.361
62,108.734,102.629,108.912
63,108.324,102.623,108.835
64,108.887,102.754,108.801
