 ,Mean(cell_0),Mean(Background),Mean(Reference)
1,110.534,100.010,113.612
2,108.983,99.973,113.496
3,109.042,100.011,113.937
4,101.695,100.055,113.405
5,102.883,100.101,113.149
6,103.882,99.887,113.418
7,104.399,99.956,112.705
8,104.505,99.996,113.454
9,104.777,99.896,113.134
10,105.372,100.030,113.282
11,105.401,100.042,112.591
12,106.146,100.014,113.038
13,106.188,99.972,113.385
14,106.696,99.994,113.700
15,106.861,100.036,112.933
16,106.584,99.987,113.080
17,106.833,100.016,113.492
18,107.348,99.904,113.688
19,106.940,100.028,112.666
20,106.567,99.950,112.559
21,106.766,100.053,113.126
22,107.038,99.965,112.853
23,107.173,99.964,113.360
24,107.485,99.887,113.468
25,107.676,99.852,113.852
26,107.664,99.888,113.929
27,107.679,99.990,114.372
28,107.655,99.950,113.479
29,107.114,100.008,112.418
30,106.835,99.981,112.080
31,106.728,100.065,113.139
32,106.842,100.163,112.685
33,107.018,99.819,113.687
34,107.295,99.952,113.716
35,107.611,99.829,114.432
36,106.857,100.073,114.548
37,107.404,100.048,114.796
38,107.508,99.997,114.520
39,107.672,99.921,114.216
40,108.222,99.941,114.712
41,107.792,100.060,114.424
42,107.227,99.771,113.370
43,107.982,99.925,112.737
44,107.924,100.081,112.912
45,108.619,99.846,112.720
46,107.870,99.999,113.064
47,107.892,99.858,113.475
48,108.461,99.989,112.517
49,108.640,100.018,112.530
50,108.593,99.902,113.983
51,108.926,99.881,112.739
52,108.510,99.977,113.065
53,108.549,99.959,113.599
54,108.556,99.860,113.656
55,108.531,99.902,113.420
56,108.241,99.963,112.877
57,108.530,99.865,112.287
58,108.406,99.794,112.547
59,108.918,99.839,112.628
60,108.236,99.841,112.835
61,108.677,99.880,112.297
62,108.412,99.995,112.278
63,108.329,99.954,112.923
64,108.431,100.029,112.674
