 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,1395.261,1234.668,103.493,1020.178
2,1366.993,1213.467,103.359,999.916
3,1359.805,1202.356,103.354,995.233
4,444.909,495.199,103.202,970.971
5,619.701,630.557,103.289,966.881
6,736.467,722.065,103.288,964.096
7,821.192,786.841,103.234,961.195
8,880.582,839.829,103.214,964.580
9,931.280,881.831,103.210,962.500
10,964.893,907.670,103.125,961.630
11,992.113,929.448,103.354,956.781
12,1012.621,939.673,103.136,953.547
13,1031.190,953.743,103.122,952.849
14,1041.662,962.359,103.067,951.234
15,1057.115,969.251,103.346,948.273
16,1072.194,982.880,103.058,947.824
17,1084.070,991.992,103.068,947.578
18,1090.219,992.797,103.155,945.487
19,1098.132,999.193,103.201,946.368
20,1109.146,1006.441,103.093,948.008
21,1115.311,1017.516,103.241,949.914
22,1119.985,1020.218,103.041,951.369
23,1127.790,1023.319,103.251,945.971
24,1137.985,1028.783,103.133,947.032
25,1141.635,1030.836,103.078,949.900
26,1143.501,1034.702,103.100,947.688
27,1151.295,1041.164,103.259,952.153
28,1154.972,1047.434,103.201,950.682
29,1156.439,1049.914,103.187,949.137
30,1165.994,1062.558,103.004,955.582
31,1171.841,1068.982,103.180,956.851
32,1175.098,1069.635,103.086,953.321
33,1174.085,1073.471,102.872,955.377
34,1178.052,1072.597,103.109,949.970
35,1179.745,1077.500,103.218,951.414
36,1180.594,1075.897,102.944,950.349
37,1180.606,1073.235,102.949,948.054
38,1184.175,1077.582,103.219,950.882
39,1181.753,1070.019,103.217,947.501
40,1179.127,1063.655,103.067,945.418
41,1185.790,1073.276,103.045,952.027
42,1192.954,1090.902,103.277,954.775
43,1191.646,1084.277,103.019,955.159
44,1194.229,1087.159,102.925,955.247
45,1200.675,1099.359,103.206,957.653
46,1207.718,1113.860,103.013,963.766
47,1206.085,1116.117,103.096,961.041
48,1208.620,1117.399,103.006,962.776
49,1206.810,1112.993,103.218,961.257
50,1207.359,1110.475,103.215,960.459
51,1204.171,1108.666,103.250,955.658
52,1205.896,1105.099,103.149,954.430
53,1202.854,1101.773,102.997,952.943
54,1200.126,1100.250,103.068,953.442
55,1198.716,1100.931,103.085,952.601
56,1195.755,1088.809,103.081,949.465
57,1190.290,1081.804,103.224,945.243
58,1192.775,1086.786,103.112,946.162
59,1194.227,1087.077,103.016,945.190
60,1196.959,1084.934,103.176,945.208
61,1201.658,1088.960,103.027,944.996
62,1198.879,1094.101,103.096,947.825
63,1203.159,1100.678,103.281,950.414
64,1203.975,1101.122,103.154,949.618
65,1203.131,1102.554,103.177,949.869
66,1206.522,1100.334,103.122,951.148
67,1207.580,1105.416,103.017,948.219
68,1209.969,1111.436,103.192,948.113
69,1214.089,1116.210,103.152,949.519
70,1212.712,1119.453,103.100,951.029
71,1212.322,1118.786,103.100,949.333
72,1213.911,1123.891,103.026,952.354
73,1214.888,1125.571,103.188,953.731
74,1219.587,1127.639,103.087,954.086
75,1222.026,1127.854,103.065,954.525
76,1223.099,1128.163,103.213,955.094
77,1219.330,1129.677,102.887,951.993
78,1222.629,1126.214,103.081,953.047
79,1222.005,1123.923,103.261,952.365
80,1218.773,1119.289,102.876,950.573
81,1220.112,1117.907,102.954,949.292
82,1227.517,1130.193,103.238,954.207
83,1226.170,1135.467,103.010,953.971
84,1226.182,1130.997,103.068,950.693
85,1227.817,1132.570,102.954,950.295
86,1228.014,1128.072,103.119,950.174
87,1224.415,1120.489,103.005,946.060
88,1223.810,1117.547,102.956,947.052
89,1219.829,1113.087,102.998,944.117
90,1220.515,1114.142,103.164,946.229
91,1221.089,1113.554,102.958,946.877
92,1215.594,1115.046,103.123,944.862
93,1220.379,1110.929,103.097,944.020
94,1221.958,1119.242,103.125,944.417
95,1224.135,1121.819,103.122,944.617
96,1225.978,1125.283,102.899,943.006
97,1226.666,1125.189,103.136,944.877
98,1224.476,1122.616,103.053,946.575
99,1226.609,1118.633,102.905,945.672
100,1219.790,1110.305,103.220,942.374
101,1218.536,1115.105,102.977,938.263
102,1216.907,1112.839,103.006,938.729
103,1219.099,1115.445,102.994,941.916
104,1218.407,1113.739,103.127,942.352
105,1218.416,1117.134,103.036,943.296
106,1220.546,1124.407,103.024,944.869
107,1222.799,1119.270,102.954,943.698
108,1217.581,1116.300,102.993,942.739
109,1220.575,1117.997,103.172,942.640
110,1223.013,1123.378,103.085,947.133
111,1219.242,1120.023,102.925,941.795
112,1217.452,1109.382,103.007,939.559
113,1218.058,1108.351,102.981,941.477
114,1219.344,1108.474,103.041,937.553
115,1214.934,1102.022,102.880,936.374
116,1214.700,1097.718,102.920,932.540
117,1211.784,1098.236,102.971,933.144
118,1217.390,1108.536,102.982,934.850
119,1219.392,1107.013,103.133,937.131
120,1215.926,1108.961,103.182,936.351
121,1215.332,1105.439,103.122,937.608
122,1211.210,1105.303,102.982,934.391
123,1209.917,1094.096,103.062,934.200
124,1208.560,1087.957,103.148,928.311
125,1208.523,1098.613,103.011,931.073
126,1210.056,1097.742,102.894,928.659
127,1209.907,1091.806,102.928,926.589
128,1204.824,1089.720,103.016,930.362
129,1203.597,1085.987,103.000,927.060
130,1203.958,1089.510,102.916,927.472
131,1203.677,1084.958,102.911,928.245
132,1191.855,1070.580,103.152,923.048
133,1193.466,1070.215,102.934,918.687
