 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,664.650,987.445,109.771,652.296
2,660.134,980.907,109.983,648.244
3,653.828,968.880,109.654,640.319
4,506.391,633.887,109.349,625.835
5,548.515,749.412,109.402,623.284
6,565.555,796.570,109.184,619.047
7,569.592,814.250,109.440,615.807
8,575.540,829.268,108.954,613.841
9,583.354,844.503,109.316,620.389
10,590.215,853.986,109.234,622.051
11,595.574,861.985,109.271,627.142
12,601.422,870.187,108.989,627.166
13,602.806,867.364,109.230,625.960
14,602.813,868.950,109.136,624.550
15,603.063,869.753,109.290,625.170
16,600.257,866.156,109.040,618.535
17,595.224,865.900,109.096,617.141
18,592.116,864.883,108.978,612.593
19,592.266,870.011,109.014,614.506
20,597.500,872.923,108.981,614.128
21,599.674,876.199,109.130,618.240
22,595.511,873.303,109.027,612.984
23,596.435,875.446,108.806,612.662
24,594.812,871.720,109.031,610.210
25,593.503,872.099,108.979,607.890
26,595.942,874.712,109.027,605.826
27,593.242,870.362,108.870,600.849
28,590.433,874.229,108.907,600.527
29,591.967,870.139,108.948,602.958
30,594.544,872.640,109.052,602.660
31,598.003,873.602,108.731,606.033
32,598.731,879.300,108.761,606.513
33,600.444,877.342,109.124,606.930
34,598.458,879.455,108.779,608.587
35,597.989,876.869,108.916,604.832
36,594.112,870.758,108.798,598.076
37,592.108,870.169,108.988,597.961
38,586.377,870.044,108.734,593.949
39,583.546,864.731,108.617,590.584
40,582.252,860.427,108.751,588.681
41,591.411,871.608,108.948,597.792
42,591.786,875.098,108.848,601.475
43,590.942,873.099,109.103,598.103
44,586.914,871.530,109.219,595.079
45,585.408,872.111,108.978,597.388
46,589.783,878.122,108.850,600.122
47,594.058,881.698,109.095,604.803
48,594.082,877.409,108.719,604.232
49,594.634,881.970,109.190,603.559
50,593.885,882.418,108.996,603.238
51,590.587,878.712,109.155,601.882
52,592.656,879.609,108.948,599.582
53,590.481,876.991,108.945,596.612
54,588.045,870.268,108.964,594.754
55,584.685,870.114,108.668,591.218
56,586.340,874.564,109.090,594.306
57,589.398,876.342,108.884,597.242
58,589.719,875.840,109.012,597.666
59,588.189,877.092,109.060,595.168
60,590.780,880.425,108.856,598.098
61,589.108,881.117,109.011,601.065
62,592.117,880.980,108.829,602.850
63,590.936,878.911,108.674,599.155
64,591.247,882.631,108.833,599.914
65,591.719,882.009,108.928,600.325
66,591.865,878.253,109.135,599.947
67,592.172,879.593,108.863,596.390
68,588.823,877.131,108.912,599.334
69,583.413,873.537,108.780,596.111
70,580.805,867.240,108.799,588.443
71,579.172,869.381,108.816,589.387
72,587.824,878.877,109.017,594.571
73,589.267,876.487,108.854,597.202
74,586.089,873.207,108.737,589.579
75,581.001,867.466,109.002,586.320
76,580.951,862.940,109.007,586.539
77,579.929,868.001,108.718,588.207
78,580.457,860.967,108.863,585.370
79,576.480,860.774,108.735,582.674
80,582.946,869.645,108.835,588.473
81,587.973,875.854,108.939,595.305
82,593.807,878.213,108.601,598.198
83,594.729,882.049,108.727,602.441
84,590.505,877.319,108.863,592.000
85,598.561,884.651,108.788,601.453
86,595.414,885.392,108.925,604.484
87,596.005,889.122,108.593,606.581
88,594.592,884.404,109.140,605.585
