 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,1240.434,1614.734,102.787,1814.164
2,1220.063,1590.156,102.801,1782.103
3,1212.315,1582.121,102.923,1773.331
4,889.931,1039.695,102.777,1739.813
5,978.583,1186.765,102.850,1726.486
6,1027.270,1270.933,102.644,1726.317
7,1047.322,1313.669,102.767,1714.511
8,1072.519,1347.836,102.746,1722.052
9,1085.462,1373.360,102.790,1725.623
10,1095.743,1392.056,102.525,1724.830
11,1099.880,1399.221,102.771,1719.645
12,1101.593,1403.627,102.850,1720.179
13,1106.805,1408.843,102.747,1712.194
14,1108.388,1413.352,102.952,1710.584
15,1110.450,1422.537,102.700,1712.149
16,1112.251,1422.536,102.755,1715.322
17,1111.747,1428.458,102.839,1716.422
18,1114.029,1433.203,102.663,1716.721
19,1116.380,1437.590,102.730,1718.648
20,1118.855,1438.429,102.834,1720.442
21,1121.092,1436.469,102.745,1721.046
22,1122.099,1441.498,102.762,1719.459
23,1123.886,1442.711,102.635,1720.413
24,1126.256,1443.218,102.853,1717.689
25,1129.545,1440.344,102.817,1719.272
26,1123.720,1442.290,102.805,1717.703
27,1120.224,1447.925,102.715,1713.677
28,1122.244,1445.734,102.726,1715.681
29,1123.155,1450.756,102.775,1714.221
30,1124.706,1450.879,102.770,1714.826
31,1125.044,1448.311,102.848,1713.119
32,1124.989,1452.319,102.620,1709.263
33,1124.406,1452.679,102.883,1711.705
34,1125.462,1453.915,102.740,1708.798
35,1125.285,1454.745,102.945,1709.299
36,1126.204,1452.545,102.757,1706.612
37,1127.652,1455.805,102.724,1707.493
38,1125.590,1457.032,102.859,1705.413
39,1125.135,1456.136,102.760,1705.146
40,1125.043,1459.859,102.641,1706.227
41,1128.180,1459.726,102.943,1706.006
42,1125.942,1459.290,102.799,1703.600
43,1130.325,1458.929,102.642,1704.423
44,1130.044,1461.352,102.734,1701.833
45,1129.583,1456.655,102.682,1704.443
46,1129.319,1458.619,102.678,1700.667
47,1128.077,1458.791,102.787,1702.972
48,1125.551,1460.791,102.626,1699.296
49,1128.672,1458.973,102.676,1697.983
50,1128.857,1459.188,102.733,1697.121
51,1130.641,1457.895,102.829,1699.545
52,1133.645,1462.476,102.752,1699.075
53,1131.416,1460.570,102.802,1704.488
54,1131.988,1462.788,102.698,1701.615
55,1134.328,1460.076,102.885,1700.561
56,1132.662,1456.282,102.803,1694.712
57,1132.431,1456.052,102.794,1698.451
58,1130.991,1461.712,102.653,1699.291
59,1129.336,1461.291,102.790,1698.165
60,1135.524,1457.924,102.688,1697.799
61,1134.012,1460.417,102.793,1696.710
62,1136.483,1461.165,102.792,1698.419
63,1136.940,1456.336,102.854,1698.370
64,1135.867,1457.461,102.815,1698.015
65,1134.602,1459.128,102.693,1700.526
66,1138.001,1464.856,102.761,1699.514
67,1139.543,1460.907,102.952,1698.857
68,1139.683,1458.534,102.680,1696.908
69,1140.601,1465.997,102.764,1696.096
70,1139.242,1465.151,102.829,1695.312
71,1134.835,1463.837,102.688,1699.487
72,1135.310,1464.009,102.723,1701.618
73,1133.829,1460.582,102.800,1699.258
74,1134.887,1464.789,102.695,1696.436
75,1139.284,1458.504,102.799,1699.812
76,1141.460,1464.997,102.726,1698.980
77,1135.976,1464.357,102.700,1694.843
78,1140.524,1464.257,102.831,1700.053
79,1141.159,1468.907,102.584,1697.724
80,1141.201,1467.409,102.703,1697.134
81,1137.754,1463.027,102.682,1699.098
82,1139.743,1463.416,102.685,1698.126
83,1141.829,1466.612,102.785,1702.820
84,1141.599,1470.839,102.748,1697.591
85,1140.441,1462.938,102.721,1696.813
86,1141.174,1461.270,102.782,1697.481
87,1136.709,1460.358,102.922,1696.567
88,1141.323,1466.156,102.720,1697.171
89,1143.469,1463.761,102.598,1692.672
90,1138.747,1466.481,102.780,1695.555
91,1137.489,1466.371,102.679,1700.609
92,1139.406,1468.228,102.732,1693.141
93,1140.529,1471.743,102.707,1695.394
94,1141.751,1462.359,102.674,1695.356
95,1142.221,1472.071,102.816,1691.982
96,1143.613,1473.146,102.747,1692.595
97,1141.066,1467.926,102.558,1690.715
98,1140.094,1469.095,102.834,1689.442
99,1143.377,1467.802,102.899,1693.665
100,1141.709,1472.288,102.786,1691.199
101,1140.659,1469.366,102.970,1691.198
102,1143.133,1469.772,102.860,1689.883
103,1142.699,1470.862,102.642,1691.036
104,1143.840,1471.496,102.798,1694.573
105,1144.060,1467.647,102.726,1694.065
106,1139.994,1468.389,102.865,1691.422
107,1139.769,1470.592,102.748,1689.735
108,1139.354,1470.226,102.678,1690.223
109,1139.309,1472.261,102.725,1688.784
110,1142.395,1465.289,102.688,1687.725
111,1143.093,1469.518,102.896,1689.159
112,1144.497,1465.328,102.785,1692.643
113,1141.371,1470.716,102.643,1689.812
114,1141.341,1469.125,102.692,1687.366
115,1139.277,1466.987,102.900,1683.457
116,1138.550,1466.941,102.721,1689.175
117,1142.445,1465.890,102.696,1688.606
118,1142.174,1466.119,102.608,1691.218
119,1144.810,1467.394,102.718,1692.812
120,1144.618,1462.736,102.633,1692.282
121,1142.721,1467.335,102.700,1693.841
122,1142.828,1467.183,102.980,1690.165
123,1140.869,1469.227,102.480,1697.355
124,1140.776,1471.301,102.750,1688.172
