 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,1730.678,3452.874,102.790,2666.562
2,1694.092,3424.741,102.564,2639.352
3,1685.138,3409.688,102.695,2625.996
4,914.599,1932.110,102.416,2548.705
5,1152.922,2333.877,102.406,2541.093
6,1259.187,2537.476,102.364,2545.797
7,1322.048,2673.299,102.364,2568.689
8,1366.707,2755.043,102.365,2566.087
9,1387.279,2799.644,102.414,2551.017
10,1405.885,2835.775,102.364,2551.934
11,1426.630,2871.425,102.507,2553.986
12,1444.060,2899.989,102.218,2551.468
13,1460.175,2920.195,102.415,2550.111
14,1472.090,2940.949,102.405,2555.267
15,1480.967,2955.438,102.455,2552.492
16,1489.485,2968.988,102.480,2555.722
17,1497.189,2973.891,102.337,2553.500
18,1503.501,2992.418,102.591,2546.383
19,1510.744,3000.609,102.527,2540.467
20,1517.958,3015.232,102.394,2543.534
21,1519.800,3021.736,102.124,2544.282
22,1522.207,3023.275,102.556,2547.904
23,1519.136,3031.126,102.265,2543.245
24,1521.392,3032.897,102.103,2538.723
25,1528.138,3043.513,102.488,2540.355
26,1528.511,3045.549,102.308,2536.980
27,1528.411,3052.347,102.485,2542.616
28,1530.403,3050.541,102.335,2541.487
29,1535.544,3059.843,102.406,2541.805
30,1537.167,3051.671,102.441,2533.414
31,1540.818,3061.633,102.297,2530.032
32,1539.929,3065.503,102.254,2520.409
33,1537.446,3064.190,102.571,2521.345
34,1539.590,3069.103,102.383,2526.387
35,1540.636,3058.594,102.305,2521.560
36,1535.176,3063.766,102.445,2521.725
37,1537.134,3065.866,102.351,2521.221
38,1538.106,3067.977,102.489,2517.387
39,1533.838,3071.998,102.376,2514.899
40,1539.287,3075.814,102.306,2506.710
41,1539.986,3076.944,102.221,2508.348
42,1541.470,3073.977,102.394,2507.448
43,1543.407,3069.388,102.373,2510.927
44,1543.020,3071.095,102.346,2508.450
45,1543.938,3073.470,102.395,2512.140
46,1540.697,3071.940,102.414,2515.812
47,1548.144,3088.553,102.370,2513.409
48,1549.083,3090.125,102.246,2505.989
49,1551.503,3092.854,102.556,2504.221
50,1544.925,3091.875,102.355,2505.370
51,1543.477,3084.563,102.258,2509.328
52,1544.465,3081.749,102.343,2495.700
53,1545.724,3085.779,102.421,2483.451
54,1548.144,3092.269,102.382,2483.996
55,1550.916,3094.885,102.253,2475.215
56,1547.628,3096.947,102.326,2470.787
57,1553.275,3097.928,102.330,2480.895
58,1549.424,3090.347,102.165,2474.262
59,1554.833,3095.544,102.338,2476.637
60,1559.337,3091.552,102.327,2485.159
61,1555.766,3091.113,102.537,2480.377
62,1555.306,3092.456,102.324,2478.897
63,1561.924,3093.326,102.429,2482.977
64,1558.142,3093.311,102.284,2482.941
65,1557.066,3084.859,102.215,2472.824
66,1562.406,3092.042,102.439,2476.505
67,1557.638,3092.612,102.327,2470.145
68,1556.017,3096.149,102.232,2485.171
69,1557.668,3088.264,102.255,2482.935
70,1562.933,3089.421,102.514,2483.283
71,1558.591,3089.233,102.276,2487.361
72,1563.956,3103.456,102.165,2486.660
73,1559.118,3098.861,102.323,2486.138
74,1563.148,3100.652,102.375,2484.775
75,1559.688,3108.601,102.224,2487.322
76,1558.855,3105.091,102.390,2482.295
77,1557.893,3110.250,102.327,2481.312
78,1552.546,3109.543,102.280,2484.695
79,1550.797,3114.625,102.325,2487.632
80,1547.821,3111.236,102.347,2486.298
81,1546.013,3107.425,102.190,2485.060
82,1546.247,3115.146,102.384,2481.073
83,1547.280,3106.352,102.373,2481.161
84,1542.712,3119.712,102.237,2473.716
85,1541.197,3112.510,102.359,2476.101
86,1543.867,3120.162,102.445,2475.295
87,1545.686,3119.974,102.436,2468.168
88,1544.099,3110.958,102.337,2467.887
89,1545.425,3109.044,102.371,2473.812
90,1549.810,3112.228,102.098,2471.905
91,1544.210,3112.254,102.322,2477.430
92,1543.818,3109.702,102.362,2480.948
93,1546.861,3111.264,102.364,2474.782
94,1543.851,3103.356,102.242,2470.389
95,1539.278,3106.287,102.458,2476.338
96,1542.527,3110.990,102.302,2477.379
97,1545.258,3114.039,102.465,2477.477
98,1544.013,3107.199,102.319,2472.109
99,1541.829,3106.442,102.171,2472.063
100,1543.429,3097.251,102.163,2480.198
101,1539.989,3095.279,102.323,2477.022
102,1540.251,3104.091,102.372,2476.163
103,1542.929,3112.965,102.090,2472.040
104,1547.617,3112.011,102.202,2479.873
105,1542.794,3117.682,102.282,2474.932
106,1537.995,3114.700,102.326,2469.367
