 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,139.179,169.347,100.505,147.787
2,138.337,168.284,100.639,147.352
3,138.428,167.506,100.507,146.798
4,104.312,108.915,100.558,145.425
5,104.208,108.572,100.497,145.317
6,103.981,108.244,100.561,145.149
7,103.971,108.526,100.522,145.705
8,103.877,108.250,100.467,145.458
9,103.683,108.124,100.440,145.114
10,103.772,108.027,100.384,145.096
11,103.621,107.960,100.538,144.790
12,103.578,108.094,100.594,144.905
13,103.793,108.031,100.479,144.845
14,103.679,108.242,100.439,144.951
15,103.723,108.308,100.497,144.823
16,103.712,107.859,100.586,144.792
17,103.822,108.297,100.409,144.774
18,103.818,108.297,100.676,144.704
19,103.804,108.381,100.334,144.354
20,103.719,108.356,100.340,144.465
21,103.603,108.157,100.513,144.538
22,103.711,108.139,100.592,144.668
23,103.493,108.312,100.488,144.377
24,103.934,108.355,100.450,144.923
25,103.731,108.335,100.451,144.533
26,103.582,108.646,100.418,144.647
27,103.417,108.172,100.503,144.276
28,103.519,108.164,100.404,144.716
29,103.512,108.199,100.515,144.707
30,103.488,108.227,100.389,144.553
31,103.535,108.308,100.397,144.242
32,103.498,108.374,100.524,144.350
33,103.480,108.209,100.483,144.332
34,103.613,108.441,100.484,144.723
35,103.588,108.329,100.528,144.654
36,103.510,108.686,100.406,144.445
37,103.460,108.339,100.488,144.641
38,103.596,108.452,100.391,144.417
39,103.572,108.546,100.390,144.456
40,103.693,108.372,100.417,144.304
41,103.491,108.705,100.500,143.759
42,103.516,108.679,100.322,144.324
43,103.607,108.892,100.535,144.811
44,103.545,108.664,100.338,144.414
45,103.619,108.645,100.329,144.100
46,103.464,108.932,100.275,143.895
47,103.635,108.700,100.493,144.272
48,103.807,108.788,100.411,144.024
49,103.732,108.914,100.291,143.979
50,103.559,108.748,100.383,144.398
51,103.506,108.604,100.425,144.216
52,103.686,108.668,100.342,143.766
53,103.569,108.856,100.396,144.666
54,103.801,108.807,100.406,144.329
55,103.722,109.229,100.359,143.872
56,103.841,109.078,100.251,144.180
57,103.452,108.889,100.408,144.054
58,103.323,108.814,100.317,144.234
59,103.515,108.810,100.455,143.980
60,103.829,108.973,100.383,144.316
61,103.346,109.058,100.474,144.509
62,103.700,109.158,100.336,144.295
63,103.693,109.039,100.340,144.039
64,103.716,109.006,100.355,143.806
65,103.584,108.928,100.312,144.400
66,103.691,109.095,100.399,143.686
67,103.639,109.065,100.389,144.347
68,103.572,109.149,100.315,143.522
69,103.738,109.082,100.382,143.470
70,103.743,109.217,100.406,144.112
71,103.760,109.248,100.340,144.289
72,103.501,109.408,100.353,143.917
73,103.796,109.179,100.346,143.854
74,103.542,108.942,100.384,144.066
75,103.879,109.442,100.258,144.012
76,103.699,109.293,100.363,144.130
77,103.549,109.053,100.407,143.980
78,103.635,109.518,100.366,143.386
79,103.806,109.424,100.453,144.194
80,103.646,109.245,100.338,143.779
81,103.802,109.372,100.261,143.659
82,103.592,109.313,100.382,143.612
83,103.698,109.492,100.455,143.884
84,103.589,109.230,100.300,143.700
85,103.525,109.515,100.467,143.937
86,103.552,109.489,100.371,143.695
87,103.560,109.338,100.327,143.652
88,103.670,109.511,100.453,143.338
89,103.654,109.537,100.427,144.183
90,103.584,109.360,100.327,143.705
91,103.581,109.539,100.400,143.086
92,103.474,109.361,100.358,143.515
93,103.696,109.437,100.359,143.795
94,103.764,109.314,100.256,143.086
95,103.605,109.379,100.316,144.119
96,103.709,109.699,100.386,143.355
97,103.515,109.612,100.330,143.453
98,103.801,109.852,100.139,144.053
99,103.771,109.935,100.524,144.155
100,103.671,109.835,100.337,143.688
101,103.771,109.900,100.193,143.743
102,103.792,110.174,100.312,143.328
103,103.609,109.586,100.380,143.609
104,103.629,109.836,100.470,143.986
105,103.557,109.881,100.402,144.139
106,103.838,109.760,100.399,143.429
107,103.688,109.960,100.382,144.026
108,103.584,109.955,100.313,143.293
109,103.580,109.966,100.383,142.908
110,103.694,110.215,100.247,143.436
111,103.805,110.347,100.334,143.298
112,103.808,110.025,100.256,143.126
113,103.472,110.039,100.248,143.369
114,103.523,110.129,100.301,143.753
115,103.680,110.113,100.216,143.310
116,103.508,109.949,100.185,143.550
117,103.808,110.194,100.273,142.977
118,103.606,110.261,100.223,143.160
119,103.773,110.174,100.350,143.410
120,103.838,110.370,100.409,143.355
121,103.742,109.729,100.277,143.725
122,103.671,110.111,100.226,143.130
123,103.735,110.079,100.162,143.198
124,103.547,109.990,100.295,143.321
125,103.698,110.338,100.230,143.269
126,104.022,110.195,100.176,143.264
127,103.864,110.339,100.163,143.030
128,103.631,110.420,100.209,143.147
129,103.637,110.434,100.316,142.900
130,103.729,110.377,100.267,142.917
131,103.610,110.329,100.360,142.947
132,103.825,110.441,100.306,143.314
133,103.785,110.107,100.161,143.441
134,103.755,110.218,100.269,142.802
135,103.683,110.285,100.385,143.307
136,103.656,110.567,100.332,142.800
137,103.819,110.162,100.276,142.690
138,103.763,110.296,100.181,142.720
139,103.568,110.339,100.264,142.648
140,103.885,110.729,100.357,142.422
141,103.768,110.454,100.283,143.017
142,103.747,110.727,100.192,142.415
143,103.701,110.726,100.207,143.192
144,103.877,110.567,100.263,142.462
145,103.829,111.163,100.371,142.951
146,103.809,110.598,100.265,142.800
147,103.940,110.819,100.173,142.644
148,103.588,110.832,100.243,142.389
149,103.717,110.768,100.340,142.755
150,103.952,110.906,100.258,142.804
151,103.936,110.901,100.244,142.932
152,103.951,110.880,100.273,143.412
153,103.829,110.991,100.188,142.868
154,104.008,110.970,100.182,142.930
155,103.941,110.858,100.227,142.888
156,103.964,111.241,100.354,143.086
157,103.806,110.797,100.253,142.859
158,103.844,110.503,100.454,142.778
159,103.841,110.907,100.452,143.218
160,103.924,110.713,100.245,142.910
161,103.681,110.957,100.140,142.988
162,103.667,111.124,100.309,142.543
163,103.853,110.878,100.267,143.098
164,103.771,111.032,100.253,142.824
165,103.598,110.981,100.204,143.104
166,103.809,110.823,100.355,142.735
167,103.645,110.978,100.218,142.820
168,103.836,111.010,100.427,142.923
169,103.744,111.082,100.277,143.018
170,103.727,111.067,100.365,143.349
171,103.717,110.772,100.173,142.859
172,103.653,111.181,100.135,142.820
173,103.808,111.068,100.373,142.359
174,103.847,111.109,100.373,142.564
175,103.821,110.971,100.340,142.172
176,103.769,111.092,100.302,142.146
177,103.891,110.908,100.371,141.906
178,104.075,111.241,100.378,142.719
179,103.997,111.295,100.214,142.257
180,103.770,111.301,100.233,142.682
181,103.935,110.988,100.259,142.669
182,103.890,111.429,100.216,142.307
183,103.912,111.331,100.235,142.633
184,104.013,111.262,100.347,142.437
185,103.881,111.165,100.192,142.735
186,104.018,111.079,100.288,141.934
187,103.797,111.069,100.236,142.410
188,103.835,110.864,100.313,142.289
189,103.666,111.434,100.231,142.007
190,103.881,111.357,100.166,142.261
191,103.747,111.265,100.326,142.512
192,103.851,111.101,100.195,142.412
193,103.804,111.337,100.148,142.172
194,103.777,111.666,100.219,142.085
195,103.873,111.221,100.360,142.122
196,103.639,111.321,100.265,141.685
197,103.716,111.222,100.061,142.253
198,103.782,111.209,100.302,141.820
199,103.946,111.582,100.076,142.018
200,103.615,111.335,100.203,142.488
201,103.774,111.534,100.131,142.229
202,103.954,111.260,100.075,141.853
203,103.782,111.214,100.193,141.788
204,103.610,111.457,100.173,141.932
205,103.850,111.432,100.353,142.171
206,104.057,111.425,100.307,142.382
207,104.027,111.513,100.370,142.263
