 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,203.183,187.349,111.253,225.502
2,201.727,186.377,110.986,224.618
3,200.974,185.042,110.778,225.772
4,134.920,141.747,110.774,221.736
5,149.280,150.233,110.394,221.253
6,159.618,156.363,110.206,221.555
7,164.843,160.151,110.426,221.826
8,168.920,163.656,110.349,220.443
9,172.735,166.048,110.771,221.357
10,174.864,168.437,110.642,221.396
11,177.476,169.213,110.652,221.883
12,179.011,170.398,110.461,222.808
13,180.029,171.773,110.051,221.078
14,181.649,171.986,110.197,220.936
15,181.773,172.720,110.341,221.300
16,182.877,173.137,110.156,221.088
17,183.856,173.696,110.265,220.795
18,183.461,174.735,110.133,220.787
19,183.818,175.310,110.434,220.831
20,184.886,175.015,110.221,221.794
21,185.618,175.697,110.311,222.443
22,185.316,176.458,110.401,221.975
23,186.081,175.319,110.611,221.582
24,186.135,175.750,110.256,222.086
25,186.945,176.538,110.116,220.540
26,186.627,178.453,110.362,221.233
27,188.741,177.111,110.423,220.606
28,187.242,177.231,110.229,219.817
29,188.014,176.418,110.141,220.855
30,187.950,177.855,110.226,220.325
31,187.857,178.169,110.309,220.179
32,188.807,178.306,110.350,220.567
33,187.923,177.841,110.248,219.928
34,188.497,177.699,110.077,220.459
35,189.012,177.790,110.207,220.135
36,188.910,177.867,110.373,219.467
37,189.451,178.616,110.585,219.466
38,189.177,177.949,110.572,219.675
39,188.908,178.512,110.339,219.088
40,189.206,179.051,110.705,218.962
41,189.490,177.980,110.695,219.018
42,189.904,177.908,110.264,219.741
43,189.721,178.939,110.197,218.921
44,189.634,177.201,110.358,219.229
45,189.300,178.214,110.447,218.171
46,189.496,178.286,109.992,218.907
47,189.441,177.759,109.888,219.720
48,189.145,178.674,110.232,218.807
49,189.332,177.930,110.350,218.799
50,189.030,178.739,110.227,218.590
51,188.938,178.775,110.111,220.211
52,189.155,178.046,110.042,220.289
53,190.291,178.527,110.252,219.142
54,189.763,177.746,110.633,219.146
55,190.076,178.190,110.182,219.505
56,189.514,178.501,110.051,219.781
57,190.596,178.456,110.313,219.279
58,189.449,178.216,110.085,219.168
59,189.527,178.076,110.124,218.349
60,190.807,178.600,110.206,218.986
61,190.927,178.322,109.844,219.281
62,190.228,178.306,110.410,218.485
63,191.144,178.312,110.126,219.595
64,190.761,177.783,110.101,219.186
65,189.736,177.704,109.942,218.801
66,189.751,177.976,110.210,218.068
67,189.888,178.020,110.108,217.838
68,190.231,178.156,109.876,218.671
69,190.343,178.475,109.989,218.576
70,189.808,179.163,110.006,217.218
71,190.639,178.605,110.089,218.634
72,192.228,177.800,110.123,217.954
73,189.956,178.523,109.912,218.368
74,190.150,178.803,109.857,218.819
75,190.763,178.171,110.232,218.193
76,191.269,178.630,110.304,219.251
77,191.227,177.674,109.936,219.369
78,190.685,179.173,110.187,220.796
79,190.846,179.277,109.959,219.981
80,191.106,179.457,109.876,219.241
81,191.122,178.849,110.010,219.206
82,191.247,178.047,110.135,220.846
83,191.347,178.732,110.062,218.543
84,191.492,179.646,109.829,220.397
85,192.139,179.622,110.076,218.599
86,190.954,179.552,109.829,220.100
87,190.830,179.456,110.041,219.298
88,191.176,178.606,110.020,218.737
89,191.101,179.643,110.098,219.087
90,191.029,178.196,109.945,218.758
91,190.920,178.847,109.862,218.508
92,190.316,178.548,110.036,219.092
93,190.582,178.678,110.309,218.046
94,191.710,178.467,110.158,218.467
95,191.695,178.590,109.859,219.409
96,191.476,179.546,110.047,219.057
97,191.171,178.297,109.910,218.478
98,191.162,179.230,110.305,218.842
99,191.012,179.163,110.092,218.684
100,192.247,179.346,110.307,218.991
101,191.805,179.005,109.885,219.502
102,191.385,178.253,110.113,219.043
103,191.462,179.078,110.150,219.462
104,191.454,178.328,110.000,218.897
105,191.383,179.142,109.903,218.817
106,191.958,179.595,109.932,218.205
107,192.542,179.112,109.984,218.960
108,191.486,179.265,109.972,219.042
109,192.978,178.616,110.303,218.440
110,192.280,179.593,110.063,218.221
111,191.025,179.070,110.300,218.900
112,191.787,178.018,110.328,219.129
113,191.680,179.876,110.348,218.757
114,191.169,178.300,110.265,217.219
115,191.359,178.774,110.155,218.422
116,191.981,177.934,110.108,218.285
117,191.488,178.300,109.881,219.188
118,190.912,178.860,109.848,217.723
119,190.175,178.947,110.152,217.654
120,190.866,180.099,110.012,217.124
121,191.062,178.735,109.909,218.765
122,190.566,179.819,110.347,218.688
123,190.590,179.258,110.330,218.921
124,191.602,179.939,109.899,218.532
125,191.787,179.928,110.371,217.524
126,191.175,179.429,109.954,217.843
127,190.616,179.993,110.338,218.359
128,191.288,179.637,110.279,218.785
129,190.915,179.972,110.075,217.139
130,190.499,179.181,109.878,217.691
131,190.865,180.346,109.828,217.990
132,189.915,179.727,110.054,217.849
133,190.390,180.244,110.161,218.368
134,192.351,179.275,110.026,219.345
135,190.360,179.961,110.024,219.429
136,190.997,180.456,110.288,218.016
137,190.678,179.409,110.597,218.814
138,191.480,179.074,110.029,217.934
139,191.154,179.589,110.100,218.987
140,190.092,179.184,110.002,218.868
141,189.740,179.789,110.130,218.602
142,189.465,179.788,109.912,218.604
143,190.599,179.324,110.140,217.194
144,191.030,178.189,109.946,217.129
145,190.579,179.751,110.232,217.171
146,190.863,178.788,110.182,217.594
147,191.335,179.293,109.690,218.548
148,190.723,179.222,109.958,217.775
149,191.236,180.327,109.924,218.705
150,191.521,179.590,109.598,217.462
151,191.038,180.382,109.706,218.785
152,190.639,180.342,110.084,218.789
153,191.113,179.343,109.993,217.969
