 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,117.753,124.670,100.028,121.521
2,117.378,124.984,99.884,122.093
3,117.444,125.145,99.982,121.118
4,100.896,102.289,99.948,122.801
5,101.240,102.671,100.013,120.367
6,101.527,103.295,99.938,121.005
7,101.609,103.315,100.075,119.709
8,101.725,103.256,100.052,119.101
9,101.842,103.543,99.953,119.760
10,101.898,103.497,99.842,118.966
11,101.974,103.473,99.971,118.897
12,101.882,103.519,99.908,117.733
13,102.049,103.848,99.933,119.207
14,102.187,104.216,99.790,119.011
15,102.279,104.150,100.219,118.602
16,102.364,104.302,99.973,119.994
17,102.492,104.425,100.018,119.654
18,102.193,104.563,99.876,118.685
19,102.383,104.310,100.085,118.568
20,102.400,104.488,100.034,118.602
21,102.349,104.035,99.892,116.703
22,102.840,104.913,100.005,120.102
23,102.887,104.515,99.935,119.316
24,103.028,105.067,99.920,121.072
25,102.897,104.554,99.983,119.897
26,103.038,105.182,100.054,120.097
27,103.300,104.816,100.073,119.954
28,103.218,105.027,100.019,119.880
29,103.223,105.323,99.947,120.362
30,103.326,105.270,99.943,118.975
31,103.626,105.726,99.922,120.086
32,103.769,105.898,100.058,121.163
33,103.633,105.975,99.906,121.404
34,103.543,105.485,99.958,119.303
35,103.701,105.762,100.068,120.330
36,103.367,105.738,99.952,119.201
37,103.771,105.875,99.789,121.049
38,103.746,106.042,100.056,120.788
39,104.005,106.395,100.036,121.438
40,103.735,105.691,100.075,119.313
41,103.965,106.605,99.972,122.424
42,103.627,105.937,99.751,119.788
43,104.081,106.508,99.959,120.335
44,104.202,106.658,100.007,122.037
45,103.792,105.874,99.772,117.834
46,104.482,106.942,99.935,121.001
47,104.460,106.612,100.017,120.480
48,104.451,106.271,99.687,119.537
49,104.390,106.323,100.028,119.676
50,104.464,106.657,99.969,120.259
51,104.324,106.657,99.981,120.305
52,104.380,106.678,100.100,120.253
53,104.419,106.958,99.949,120.257
54,104.116,106.092,99.843,118.791
55,104.356,106.309,99.912,120.216
56,105.062,107.072,100.049,122.446
57,104.413,106.535,99.829,120.312
58,104.992,106.865,99.860,121.869
59,104.797,106.860,100.055,121.219
60,104.906,106.705,100.055,121.238
61,104.728,106.473,99.991,120.155
62,104.670,106.808,99.853,120.510
63,104.859,106.717,99.970,120.529
64,104.893,107.165,99.940,121.188
