 ,Mean(cell_0),Mean(cell_1),Mean(Background),Mean(Reference)
1,109.451,114.623,99.979,112.477
2,109.267,113.568,99.995,111.958
3,108.815,114.951,99.757,111.872
4,102.314,103.054,100.057,111.993
5,103.640,103.954,100.008,112.066
6,104.623,105.322,100.027,111.907
7,105.209,105.268,99.962,112.140
8,105.687,105.681,100.038,111.721
9,105.893,106.883,99.806,111.609
10,106.597,107.026,99.880,111.887
11,106.507,106.956,99.866,111.341
12,107.526,107.251,99.849,111.870
13,107.352,107.585,99.925,111.263
14,107.845,107.747,99.930,111.046
15,107.746,108.413,100.061,111.224
16,108.064,108.506,99.984,111.003
17,107.597,109.032,100.056,111.398
18,107.855,108.567,99.847,110.817
19,108.264,108.443,99.956,110.494
20,108.322,109.351,99.968,110.911
21,108.666,109.358,99.895,111.121
22,108.686,110.269,100.196,111.369
23,108.105,110.739,99.988,111.412
24,108.527,109.964,100.019,111.543
25,108.468,109.780,100.077,111.151
26,108.519,110.152,99.885,111.041
27,108.480,110.053,99.856,110.959
28,108.410,110.307,99.960,111.415
29,107.901,110.896,99.811,111.458
30,107.964,110.649,100.126,111.152
31,108.064,110.829,99.889,111.421
32,107.828,110.506,99.950,111.020
33,107.973,111.070,100.108,111.592
34,108.066,111.171,100.055,111.303
35,108.750,110.295,99.899,111.432
36,109.218,110.254,99.922,111.651
37,109.495,110.938,99.957,111.703
38,108.781,111.307,100.009,111.695
39,108.954,111.251,100.016,112.187
40,109.002,110.985,100.068,112.272
41,108.300,110.899,99.889,111.890
42,108.783,111.233,99.886,111.237
43,109.006,111.025,100.006,111.468
44,109.315,110.992,100.062,111.708
45,108.961,111.365,99.864,112.144
46,108.884,111.023,99.932,111.332
47,108.644,111.186,100.156,111.416
48,109.376,111.687,100.057,111.447
49,108.797,111.625,100.060,111.520
50,109.034,111.734,99.926,110.579
51,108.834,111.919,100.000,110.698
52,108.736,111.529,99.978,110.856
53,109.215,111.748,100.062,110.969
54,108.818,111.944,99.984,111.373
55,109.125,112.417,100.145,111.015
56,108.931,111.222,99.880,111.004
57,108.630,111.964,100.005,111.199
58,108.463,112.845,99.940,111.296
59,108.341,112.925,99.748,111.099
60,108.519,112.816,100.142,110.937
61,108.669,112.278,100.067,111.393
62,109.087,112.252,100.018,111.163
63,109.336,112.107,99.925,111.421
64,109.471,111.908,100.029,111.306
