 ,Time(s)
1,0.000
2,0.963
3,1.963
4,2.247
5,3.247
6,4.247
7,5.247
8,6.248
9,7.247
10,8.246
11,9.247
12,10.247
13,11.247
14,12.248
15,13.248
16,14.248
17,15.248
18,16.247
19,17.247
20,18.247
21,19.248
22,20.247
23,21.246
24,22.246
25,23.248
26,24.248
27,25.246
28,26.247
29,27.246
30,28.247
31,29.246
32,30.247
33,31.247
34,32.246
35,33.248
36,34.247
37,35.247
38,36.247
39,37.247
40,38.248
41,39.247
42,40.246
43,41.246
44,42.247
45,43.246
46,44.247
47,45.247
48,46.247
49,47.246
50,48.247
51,49.247
52,50.246
53,51.247
54,52.247
55,53.247
56,54.247
57,55.247
58,56.247
59,57.247
60,58.247
61,59.247
62,60.247
63,61.247
64,62.247
