 ,Time(s)
1,0.000
2,0.791
3,1.791
4,2.063
5,3.065
6,4.064
7,5.064
8,6.064
9,7.065
10,8.064
11,9.065
12,10.063
13,11.064
14,12.064
15,13.065
16,14.063
17,15.064
18,16.064
19,17.064
20,18.065
21,19.065
22,20.064
23,21.064
24,22.064
25,23.064
26,24.063
27,25.064
28,26.064
29,27.065
30,28.065
31,29.065
32,30.064
33,31.064
34,32.064
35,33.064
36,34.064
37,35.064
38,36.065
39,37.064
40,38.065
41,39.063
42,40.063
43,41.064
44,42.064
45,43.064
46,44.064
47,45.064
48,46.064
49,47.064
50,48.064
51,49.065
52,50.064
53,51.063
54,52.063
55,53.063
56,54.064
57,55.064
58,56.063
59,57.064
60,58.064
61,59.063
62,60.064
63,61.063
64,62.064
