 ,Time(s)
1,0.049
2,1.050
3,2.050
4,2.323
5,3.324
6,4.323
7,5.324
8,6.324
9,7.325
10,8.323
11,9.324
12,10.324
13,11.324
14,12.324
15,13.324
16,14.323
17,15.324
18,16.324
19,17.324
20,18.324
21,19.324
22,20.324
23,21.324
24,22.323
25,23.324
26,24.324
27,25.324
28,26.324
29,27.323
30,28.324
31,29.324
32,30.323
33,31.323
34,32.324
35,33.323
36,34.324
37,35.324
38,36.324
39,37.324
40,38.324
41,39.323
42,40.324
43,41.323
44,42.324
45,43.324
46,44.324
47,45.324
48,46.323
49,47.323
50,48.324
51,49.323
52,50.324
53,51.323
54,52.323
55,53.323
56,54.323
57,55.324
58,56.324
59,57.324
60,58.323
61,59.323
62,60.324
63,61.323
64,62.323
