 ,Time(s)
1,0.035
2,1.035
3,2.035
4,2.309
5,3.310
6,4.310
7,5.310
8,6.310
9,7.309
10,8.309
11,9.310
12,10.309
13,11.310
14,12.309
15,13.310
16,14.310
17,15.309
18,16.310
19,17.309
20,18.309
21,19.309
22,20.309
23,21.309
24,22.310
25,23.309
26,24.309
27,25.308
28,26.309
29,27.310
30,28.309
31,29.309
32,30.309
33,31.309
34,32.309
35,33.309
36,34.310
37,35.309
38,36.309
39,37.309
40,38.309
41,39.309
42,40.309
43,41.310
44,42.310
45,43.310
46,44.309
47,45.310
48,46.308
49,47.309
50,48.310
51,49.310
52,50.310
53,51.308
54,52.308
55,53.309
56,54.310
57,55.309
58,56.309
59,57.309
60,58.310
61,59.310
62,60.310
63,61.309
64,62.310
