 ,Time(s)
1,0.008
2,1.009
3,2.009
4,2.302
5,2.449
6,2.596
7,2.743
8,2.890
9,3.037
10,3.184
11,3.331
12,3.478
13,3.625
14,3.772
15,3.919
16,4.065
17,4.212
18,4.359
19,4.506
20,4.653
21,4.800
22,4.948
23,5.095
24,5.242
25,5.389
26,5.536
27,5.683
28,5.830
29,5.977
30,6.124
31,6.271
32,6.418
33,6.566
34,6.712
35,6.859
36,7.006
37,7.153
38,7.301
39,7.448
40,7.595
41,7.742
42,7.889
43,8.036
44,8.183
45,8.330
46,8.477
47,8.624
48,8.771
49,8.918
50,9.065
51,9.212
52,9.359
53,9.507
54,9.654
55,9.801
56,9.948
57,10.095
58,10.242
59,10.389
60,10.536
61,10.683
62,10.830
63,10.977
64,11.124
65,11.271
66,11.418
67,11.565
68,11.712
69,11.859
70,12.006
71,12.153
72,12.301
73,12.448
74,12.595
75,12.742
76,12.889
77,13.036
78,13.183
79,13.330
80,13.477
81,13.624
82,13.771
83,13.918
84,14.065
85,14.212
86,14.359
87,14.507
88,14.653
89,14.800
90,14.947
91,15.094
92,15.241
93,15.388
94,15.535
95,15.683
96,15.830
97,15.977
98,16.124
99,16.271
100,16.418
101,16.565
102,16.712
103,16.860
104,17.007
105,17.154
106,17.301
107,17.448
108,17.595
109,17.742
110,17.888
111,18.035
112,18.182
113,18.329
114,18.477
115,18.624
116,18.771
117,18.918
118,19.065
119,19.212
120,19.359
121,19.506
122,19.653
123,19.800
124,19.947
125,20.094
126,20.241
127,20.388
128,20.535
129,20.683
130,20.830
131,20.977
132,21.124
133,21.271
134,21.418
135,21.565
136,21.712
137,21.859
138,22.006
139,22.153
140,22.301
141,22.448
142,22.595
143,22.742
144,22.890
145,23.037
146,23.184
147,23.331
148,23.478
149,23.625
150,23.772
151,23.919
152,24.066
153,24.213
154,24.360
155,24.542
156,24.689
157,24.837
158,24.984
159,25.131
160,25.278
161,25.425
162,25.572
163,25.719
164,25.866
165,26.013
166,26.160
167,26.307
168,26.454
169,26.601
170,26.748
171,26.895
172,27.042
173,27.189
174,27.336
175,27.483
176,27.630
177,27.778
178,27.925
179,28.072
180,28.219
181,28.366
182,28.513
183,28.660
184,28.807
185,28.954
186,29.101
187,29.249
188,29.396
189,29.542
190,29.690
191,29.836
192,29.984
193,30.131
194,30.278
195,30.425
196,30.572
197,30.719
198,30.866
199,31.013
200,31.160
201,31.307
202,31.454
203,31.602
204,31.748
205,31.895
206,32.042
207,32.190
