 ,Time(s)
1,0.072
2,1.073
3,2.074
4,2.367
5,2.514
6,2.662
7,2.809
8,2.956
9,3.103
10,3.252
11,3.405
12,3.552
13,3.700
14,3.847
15,3.994
16,4.142
17,4.289
18,4.436
19,4.584
20,4.730
21,4.878
22,5.025
23,5.173
24,5.320
25,5.467
26,5.615
27,5.763
28,5.910
29,6.058
30,6.205
31,6.353
32,6.500
33,6.647
34,6.795
35,6.942
36,7.090
37,7.237
38,7.385
39,7.532
40,7.681
41,7.829
42,7.977
43,8.124
44,8.271
45,8.419
46,8.566
47,8.714
48,8.861
49,9.009
50,9.156
51,9.303
52,9.450
53,9.598
54,9.747
55,9.894
56,10.042
57,10.189
58,10.336
59,10.484
60,10.631
61,10.778
62,10.926
63,11.073
64,11.222
65,11.370
66,11.517
67,11.664
68,11.811
69,11.958
70,12.106
71,12.253
72,12.400
73,12.548
74,12.697
75,12.844
76,12.992
77,13.140
78,13.288
79,13.435
80,13.582
81,13.729
82,13.877
83,14.026
84,14.174
85,14.322
86,14.471
87,14.619
88,14.766
89,14.913
90,15.061
91,15.209
92,15.356
93,15.505
94,15.652
95,15.800
96,15.947
97,16.094
98,16.242
99,16.389
100,16.537
101,16.684
102,16.831
103,16.980
104,17.127
105,17.275
106,17.422
107,17.569
108,17.716
109,17.864
110,18.016
111,18.163
112,18.311
113,18.458
114,18.605
115,18.753
116,18.903
117,19.050
118,19.198
119,19.345
120,19.492
121,19.638
122,19.787
123,19.937
124,20.085
125,20.232
126,20.379
127,20.526
128,20.674
129,20.821
130,20.969
131,21.116
132,21.265
133,21.412
134,21.560
135,21.706
136,21.854
137,22.001
138,22.149
139,22.297
140,22.444
141,22.591
142,22.739
143,22.886
144,23.033
145,23.180
146,23.327
147,23.475
148,23.622
149,23.769
150,23.916
151,24.065
152,24.212
153,24.359
154,24.542
155,24.689
156,24.837
157,24.984
158,25.131
159,25.278
160,25.425
161,25.574
162,25.722
163,25.869
164,26.016
165,26.164
166,26.311
167,26.459
168,26.606
169,26.753
170,26.901
171,27.050
172,27.199
173,27.346
174,27.495
175,27.643
176,27.790
177,27.937
178,28.084
179,28.234
180,28.381
181,28.528
182,28.676
183,28.824
184,28.971
185,29.118
186,29.265
187,29.412
188,29.560
189,29.707
190,29.854
191,30.001
192,30.150
193,30.299
194,30.448
195,30.595
196,30.742
197,30.889
198,31.036
199,31.182
200,31.330
201,31.477
202,31.624
203,31.771
204,31.920
205,32.069
206,32.217
207,32.364
