 ,Time(s)
1,0.044
2,1.045
3,2.044
4,2.336
5,2.483
6,2.630
7,2.777
8,2.924
9,3.071
10,3.219
11,3.366
12,3.513
13,3.660
14,3.807
15,3.954
16,4.101
17,4.248
18,4.394
19,4.541
20,4.688
21,4.835
22,4.983
23,5.130
24,5.277
25,5.424
26,5.571
27,5.719
28,5.866
29,6.013
30,6.160
31,6.307
32,6.454
33,6.601
34,6.748
35,6.895
36,7.042
37,7.189
38,7.336
39,7.484
40,7.631
41,7.778
42,7.925
43,8.072
44,8.218
45,8.366
46,8.512
47,8.660
48,8.806
49,8.953
50,9.100
51,9.247
52,9.394
53,9.541
54,9.688
55,9.835
56,9.982
57,10.129
58,10.276
59,10.423
60,10.570
61,10.717
62,10.864
63,11.011
64,11.158
65,11.305
66,11.452
67,11.599
68,11.746
69,11.893
70,12.041
71,12.188
72,12.335
73,12.482
74,12.629
75,12.776
76,12.923
77,13.070
78,13.217
79,13.365
80,13.512
81,13.659
82,13.806
83,13.953
84,14.100
85,14.247
86,14.394
87,14.541
88,14.688
89,14.835
90,14.982
91,15.129
92,15.276
93,15.423
94,15.570
95,15.717
96,15.864
97,16.011
98,16.158
99,16.305
100,16.452
101,16.599
102,16.746
103,16.893
104,17.040
105,17.188
106,17.335
107,17.482
108,17.629
109,17.776
110,17.923
111,18.070
112,18.217
113,18.364
114,18.511
115,18.658
116,18.805
117,18.952
118,19.099
119,19.246
120,19.393
121,19.540
122,19.687
123,19.834
124,19.981
125,20.128
126,20.275
127,20.422
128,20.569
129,20.716
130,20.863
131,21.010
132,21.157
133,21.304
134,21.451
135,21.598
136,21.745
137,21.892
138,22.039
139,22.187
140,22.334
141,22.482
142,22.629
143,22.776
144,22.923
145,23.070
146,23.217
147,23.364
148,23.511
149,23.658
150,23.805
151,23.952
152,24.099
153,24.246
154,24.392
155,24.575
156,24.722
157,24.869
158,25.016
159,25.163
160,25.310
161,25.457
162,25.604
163,25.751
164,25.898
165,26.045
166,26.192
167,26.339
168,26.486
169,26.633
170,26.780
171,26.928
172,27.075
173,27.222
174,27.369
175,27.516
176,27.663
177,27.810
178,27.958
179,28.105
180,28.252
181,28.399
182,28.546
183,28.693
184,28.840
185,28.987
186,29.135
187,29.282
188,29.429
189,29.576
190,29.723
191,29.870
192,30.017
193,30.164
194,30.311
195,30.458
196,30.605
197,30.752
198,30.899
199,31.046
200,31.194
201,31.340
202,31.487
203,31.634
204,31.781
205,31.928
206,32.075
207,32.222
