 ,Time(s)
1,0.068
2,1.068
3,2.068
4,2.363
5,2.510
6,2.657
7,2.804
8,2.950
9,3.098
10,3.245
11,3.392
12,3.539
13,3.686
14,3.833
15,3.980
16,4.127
17,4.274
18,4.421
19,4.568
20,4.715
21,4.862
22,5.009
23,5.156
24,5.303
25,5.450
26,5.598
27,5.745
28,5.892
29,6.039
30,6.186
31,6.333
32,6.481
33,6.628
34,6.774
35,6.921
36,7.069
37,7.216
38,7.363
39,7.510
40,7.657
41,7.804
42,7.951
43,8.098
44,8.245
45,8.392
46,8.540
47,8.687
48,8.834
49,8.981
50,9.163
51,9.310
52,9.457
53,9.604
54,9.751
55,9.898
56,10.046
57,10.193
58,10.340
59,10.487
60,10.634
61,10.781
62,10.928
63,11.075
64,11.222
65,11.369
66,11.516
67,11.663
68,11.810
69,11.958
70,12.105
71,12.251
72,12.399
73,12.546
74,12.692
75,12.839
76,12.987
77,13.133
78,13.280
79,13.427
80,13.574
81,13.721
82,13.868
83,14.016
84,14.163
85,14.310
86,14.457
87,14.604
88,14.751
89,14.898
90,15.045
91,15.192
92,15.339
93,15.486
94,15.633
95,15.780
96,15.927
97,16.074
98,16.221
99,16.369
100,16.516
101,16.663
102,16.810
103,16.957
104,17.104
105,17.251
106,17.398
107,17.545
108,17.692
109,17.839
110,17.986
111,18.133
112,18.280
113,18.427
114,18.575
115,18.722
116,18.869
117,19.016
118,19.163
119,19.310
120,19.457
121,19.604
122,19.751
123,19.898
124,20.045
125,20.192
126,20.339
127,20.486
128,20.633
129,20.780
130,20.927
131,21.074
132,21.221
133,21.368
134,21.515
135,21.662
136,21.809
137,21.957
138,22.104
139,22.251
140,22.398
141,22.545
142,22.692
143,22.839
144,22.987
145,23.134
146,23.281
147,23.428
148,23.575
149,23.722
150,23.869
151,24.017
152,24.164
153,24.311
154,24.458
155,24.604
156,24.752
157,24.899
158,25.046
159,25.193
160,25.340
161,25.487
162,25.634
163,25.781
164,25.928
165,26.075
166,26.222
167,26.369
168,26.516
169,26.664
170,26.810
171,26.957
172,27.105
173,27.251
174,27.398
175,27.545
176,27.692
177,27.840
178,27.987
179,28.134
180,28.281
181,28.428
182,28.575
183,28.722
184,28.869
185,29.016
186,29.163
187,29.311
188,29.458
189,29.605
190,29.752
191,29.899
192,30.047
193,30.194
194,30.341
195,30.488
196,30.635
197,30.782
198,30.929
199,31.076
200,31.222
201,31.370
202,31.517
203,31.664
204,31.811
205,31.958
206,32.104
207,32.252
