 ,Time(s)
1,0.000
2,0.944
3,1.943
4,2.242
5,2.389
6,2.536
7,2.683
8,2.830
9,2.977
10,3.124
11,3.271
12,3.418
13,3.565
14,3.712
15,3.859
16,4.006
17,4.153
18,4.300
19,4.447
20,4.594
21,4.740
22,4.888
23,5.034
24,5.181
25,5.328
26,5.475
27,5.622
28,5.770
29,5.917
30,6.064
31,6.211
32,6.358
33,6.505
34,6.652
35,6.799
36,6.945
37,7.093
38,7.240
39,7.386
40,7.533
41,7.680
42,7.827
43,7.974
44,8.121
45,8.268
46,8.415
47,8.562
48,8.709
49,8.856
50,9.003
51,9.150
52,9.297
53,9.444
54,9.591
55,9.738
56,9.887
57,10.034
58,10.182
59,10.329
60,10.476
61,10.623
62,10.770
63,10.916
64,11.064
65,11.211
66,11.358
67,11.505
68,11.652
69,11.799
70,11.946
71,12.094
72,12.240
73,12.387
74,12.534
75,12.681
76,12.828
77,12.975
78,13.122
79,13.269
80,13.416
81,13.563
82,13.710
83,13.857
84,14.004
85,14.151
86,14.299
87,14.446
88,14.593
89,14.740
90,14.887
91,15.034
92,15.181
93,15.328
94,15.475
95,15.622
96,15.769
97,15.916
98,16.063
99,16.210
100,16.357
101,16.504
102,16.651
103,16.798
104,16.945
105,17.092
106,17.239
107,17.386
108,17.533
109,17.680
110,17.827
111,17.974
112,18.121
113,18.267
114,18.414
115,18.561
116,18.708
117,18.855
118,19.002
119,19.149
120,19.296
121,19.446
122,19.593
123,19.740
124,19.887
125,20.034
126,20.181
127,20.328
128,20.475
129,20.622
130,20.769
131,20.916
132,21.064
133,21.211
134,21.358
135,21.505
136,21.652
137,21.798
138,21.945
139,22.092
140,22.239
141,22.386
142,22.533
143,22.680
144,22.827
145,22.973
146,23.121
147,23.268
148,23.415
149,23.562
150,23.709
151,23.856
152,24.003
153,24.149
154,24.296
155,24.443
156,24.590
157,24.737
158,24.884
159,25.031
160,25.178
161,25.325
162,25.472
163,25.619
164,25.766
165,25.913
166,26.060
167,26.207
168,26.354
169,26.501
170,26.648
171,26.795
172,26.942
173,27.089
174,27.236
175,27.383
176,27.530
177,27.677
178,27.825
179,27.971
180,28.118
181,28.266
182,28.413
183,28.560
184,28.707
185,28.854
186,29.001
187,29.148
188,29.295
189,29.442
190,29.589
191,29.735
192,29.883
193,30.030
194,30.213
195,30.360
196,30.507
197,30.654
198,30.801
199,30.948
200,31.095
201,31.242
202,31.389
203,31.536
204,31.683
205,31.829
206,31.976
207,32.123
