 ,Time(s)
1,0.000
2,0.992
3,1.993
4,2.286
5,2.433
6,2.580
7,2.728
8,2.875
9,3.022
10,3.169
11,3.317
12,3.464
13,3.611
14,3.758
15,3.905
16,4.053
17,4.200
18,4.347
19,4.494
20,4.642
21,4.789
22,4.936
23,5.084
24,5.231
25,5.378
26,5.526
27,5.673
28,5.820
29,5.967
30,6.115
31,6.262
32,6.409
33,6.556
34,6.704
35,6.851
36,6.998
37,7.145
38,7.292
39,7.439
40,7.587
41,7.734
42,7.881
43,8.028
44,8.178
45,8.326
46,8.473
47,8.620
48,8.767
49,8.914
50,9.061
51,9.209
52,9.356
53,9.503
54,9.650
55,9.797
56,9.944
57,10.092
58,10.239
59,10.386
60,10.534
61,10.681
62,10.829
63,10.976
64,11.123
65,11.271
66,11.418
67,11.565
68,11.713
69,11.860
70,12.008
71,12.155
72,12.302
73,12.449
74,12.597
75,12.744
76,12.891
77,13.039
78,13.186
79,13.333
80,13.480
81,13.627
82,13.775
83,13.922
84,14.069
85,14.216
86,14.364
87,14.511
88,14.659
89,14.806
90,14.953
91,15.100
92,15.248
93,15.395
94,15.542
95,15.689
96,15.836
97,15.984
98,16.131
99,16.278
100,16.426
101,16.573
102,16.720
103,16.867
104,17.015
105,17.162
106,17.309
107,17.456
108,17.604
109,17.751
110,17.898
111,18.045
112,18.192
113,18.340
114,18.487
115,18.634
116,18.781
117,18.931
118,19.079
119,19.226
120,19.373
121,19.520
122,19.668
123,19.815
124,19.962
125,20.109
126,20.256
127,20.404
128,20.551
129,20.698
130,20.845
131,20.993
132,21.140
133,21.287
134,21.435
135,21.582
136,21.729
137,21.876
138,22.023
139,22.170
140,22.318
141,22.465
142,22.612
143,22.759
144,22.906
145,23.054
146,23.201
147,23.348
148,23.495
149,23.643
150,23.790
151,23.937
152,24.084
153,24.232
154,24.379
155,24.526
156,24.673
157,24.821
158,24.968
159,25.115
160,25.262
161,25.409
162,25.557
163,25.704
164,25.851
165,25.999
166,26.146
167,26.293
168,26.440
169,26.587
170,26.735
171,26.882
172,27.029
173,27.179
174,27.326
175,27.474
176,27.621
177,27.769
178,27.916
179,28.063
180,28.211
181,28.358
182,28.505
183,28.652
184,28.799
185,28.947
186,29.094
187,29.241
188,29.388
189,29.535
190,29.683
191,29.830
192,29.977
193,30.124
194,30.307
195,30.454
196,30.601
197,30.748
198,30.896
199,31.043
200,31.190
201,31.337
202,31.484
203,31.632
204,31.779
205,31.926
206,32.073
207,32.220
