 ,Mean(cell_0),Mean(Background),Mean(Reference),Mean(area1_cell0),Mean(area2_cell0),Mean(entire_cell0)
1,110.824,99.734,99.734,108.667,107.584,107.978
2,110.634,99.791,99.791,108.312,107.194,107.763
3,111.054,99.694,99.694,108.218,107.520,107.677
4,100.730,99.822,99.822,107.882,107.298,106.992
5,100.348,99.929,99.929,108.236,107.741,106.873
6,100.458,99.915,99.915,107.997,107.160,106.697
7,100.249,99.765,99.765,107.565,107.192,106.486
8,100.135,99.821,99.821,107.731,106.775,106.415
9,100.177,99.866,99.866,107.567,106.702,106.386
10,100.142,99.798,99.798,107.704,106.381,106.272
11,100.016,99.771,99.771,108.005,106.670,106.137
12,100.119,99.815,99.815,107.438,106.584,106.058
13,100.060,99.835,99.835,107.304,106.558,106.034
14,100.045,99.992,99.992,107.753,106.543,105.994
15,100.048,99.805,99.805,107.495,106.811,105.846
16,100.116,99.841,99.841,107.258,106.494,105.786
17,100.137,99.948,99.948,107.329,106.650,105.723
18,99.975,99.864,99.864,106.995,106.873,105.656
19,99.996,99.804,99.804,107.075,106.962,105.533
20,100.016,99.842,99.842,106.875,107.083,105.454
21,99.988,99.868,99.868,106.527,106.412,105.290
22,99.811,99.886,99.886,106.530,106.792,105.269
23,99.937,99.863,99.863,106.187,106.626,105.203
24,99.966,99.927,99.927,106.013,106.774,105.142
25,100.006,99.970,99.970,106.045,107.060,105.104
26,99.970,99.982,99.982,106.173,107.268,105.083
27,99.947,99.885,99.885,105.993,107.040,105.002
28,100.096,99.826,99.826,105.958,107.017,104.957
29,99.901,99.794,99.794,106.013,106.907,104.879
30,99.962,99.846,99.846,106.127,106.605,104.803
31,99.945,99.845,99.845,105.938,106.243,104.757
32,99.868,99.840,99.840,105.997,106.277,104.718
33,99.986,99.808,99.808,105.790,106.677,104.635
34,99.920,99.865,99.865,105.894,106.774,104.655
35,99.875,99.891,99.891,105.938,106.465,104.618
36,99.895,99.890,99.890,105.424,106.753,104.570
37,99.970,99.921,99.921,105.025,106.723,104.568
38,99.888,99.965,99.965,105.123,107.544,104.505
39,99.923,99.916,99.916,104.865,107.132,104.458
40,99.885,99.891,99.891,105.096,107.077,104.443
41,99.874,99.827,99.827,104.911,107.064,104.458
42,99.975,99.848,99.848,104.863,106.954,104.356
43,99.830,99.921,99.921,104.867,107.306,104.367
44,99.836,99.879,99.879,104.835,107.155,104.334
45,99.931,99.932,99.932,104.978,106.689,104.344
46,99.918,99.862,99.862,105.060,106.742,104.317
47,99.955,99.925,99.925,104.881,106.676,104.293
48,99.899,99.875,99.875,105.222,106.382,104.303
49,99.884,99.902,99.902,105.205,106.392,104.192
50,99.818,99.914,99.914,105.028,106.158,104.163
51,99.768,99.900,99.900,104.816,106.591,104.187
52,99.844,99.883,99.883,105.115,106.279,104.097
53,99.909,99.905,99.905,105.238,106.233,104.172
54,99.886,100.006,100.006,105.265,106.689,104.242
55,99.890,99.950,99.950,105.140,106.568,104.201
56,99.845,99.940,99.940,104.749,106.431,104.166
57,99.757,99.940,99.940,105.024,106.154,104.087
58,99.850,99.953,99.953,104.823,106.065,104.069
59,99.818,99.976,99.976,105.134,106.249,104.101
60,99.880,99.943,99.943,104.984,106.360,104.070
61,99.850,99.860,99.860,104.692,106.299,103.956
62,99.886,99.893,99.893,104.807,105.945,103.959
63,99.785,99.898,99.898,104.629,105.500,103.925
64,99.756,99.941,99.941,104.656,105.642,103.919
65,99.812,99.893,99.893,104.496,105.549,103.929
66,99.849,99.853,99.853,104.393,105.479,103.915
67,99.947,99.861,99.861,104.384,105.762,103.962
68,99.910,99.901,99.901,104.585,105.776,103.889
69,99.930,99.875,99.875,104.480,105.872,103.844
70,99.954,99.863,99.863,104.481,105.673,103.783
71,99.838,99.975,99.975,104.636,105.317,103.790
72,99.882,99.930,99.930,104.834,105.526,103.765
73,99.908,99.948,99.948,104.823,105.683,103.749
74,99.788,99.891,99.891,104.730,106.028,103.720
75,100.006,99.930,99.930,104.589,106.065,103.709
76,99.697,99.877,99.877,104.488,106.092,103.647
77,99.912,99.980,99.980,104.841,106.065,103.708
78,99.872,99.914,99.914,104.636,105.885,103.696
79,99.934,99.943,99.943,104.725,105.723,103.716
80,99.872,99.954,99.954,104.497,105.719,103.705
81,99.952,99.913,99.913,104.589,105.249,103.641
82,99.816,99.885,99.885,104.424,105.347,103.579
83,99.839,99.829,99.829,104.387,105.383,103.600
84,99.891,100.035,100.035,104.567,105.453,103.652
85,99.861,99.816,99.816,104.288,105.402,103.578
86,99.918,99.953,99.953,104.458,105.390,103.522
87,99.822,99.855,99.855,104.306,105.490,103.495
88,99.874,99.918,99.918,104.394,105.357,103.548
89,99.900,99.872,99.872,104.311,105.474,103.418
90,99.853,99.850,99.850,103.832,104.856,103.374
91,99.890,99.801,99.801,104.077,104.983,103.402
