 ,Time(s)
1,0.000
2,0.899
3,1.899
4,2.240
5,6.396
6,9.734
7,13.075
8,16.412
9,19.834
10,23.188
11,26.611
12,30.124
13,33.462
14,36.901
15,40.413
16,43.928
17,47.445
18,50.965
19,54.645
20,58.147
21,61.856
22,65.403
23,69.185
24,72.765
25,76.504
26,80.408
27,84.059
28,87.834
29,91.767
30,95.692
31,99.334
32,103.218
33,106.848
34,110.281
35,113.906
36,117.544
37,121.178
38,125.148
39,128.857
40,132.325
41,135.787
42,139.286
43,142.790
44,146.431
45,150.102
46,153.650
47,157.326
48,160.793
49,164.767
50,168.722
51,172.694
52,176.327
53,180.293
54,183.782
55,187.760
56,191.399
57,195.078
58,198.563
59,202.074
60,205.637
61,208.978
62,212.656
63,216.292
64,219.974
65,223.663
66,227.001
67,230.665
68,234.285
69,237.816
70,241.328
71,244.980
72,248.472
73,252.175
74,255.822
75,259.442
76,263.082
77,266.734
78,270.362
79,274.025
80,277.368
81,280.910
82,284.571
83,288.181
84,292.173
85,295.815
86,299.454
87,303.090
88,306.687
89,310.307
90,313.943
91,317.544
92,321.273
93,324.612
94,328.132
95,331.469
96,335.427
97,339.051
98,343.080
99,346.695
100,350.346
101,354.312
102,357.858
103,361.421
104,365.397
105,368.733
106,372.350
107,376.322
108,379.867
109,383.876
110,387.907
111,391.562
112,395.555
113,399.068
114,402.604
115,406.240
116,409.734
117,413.401
118,417.088
119,420.691
120,424.331
121,427.864
122,431.543
123,435.062
124,438.705
125,442.321
126,445.967
127,449.942
128,453.941
129,457.934
130,461.938
131,465.928
132,469.568
133,473.092
134,476.641
135,480.326
136,483.875
137,487.573
138,491.105
139,494.656
140,498.343
141,502.025
142,505.681
143,509.373
144,512.714
145,516.347
146,519.923
147,523.553
148,526.892
149,530.558
150,534.181
151,537.843
152,541.525
153,544.862
154,548.511
155,551.848
156,555.468
157,558.806
158,562.434
159,565.771
160,569.112
161,572.453
162,576.157
163,579.909
164,583.600
165,587.295
166,590.883
167,594.231
168,597.568
169,601.243
170,604.582
171,608.270
172,611.989
173,615.330
174,618.993
175,622.668
176,626.382
177,629.719
178,633.125
179,636.508
180,639.943
181,643.594
182,646.935
183,650.657
184,654.007
185,657.347
186,660.947
187,664.680
188,668.385
189,671.741
190,675.480
191,678.818
192,682.515
193,685.884
194,689.225
195,692.563
196,696.259
197,699.984
198,703.321
199,706.974
200,710.700
201,714.427
202,718.113
203,721.779
204,725.452
205,729.093
206,732.787
207,736.126
208,739.817
209,743.555
210,747.249
211,750.592
212,754.189
213,757.849
214,761.502
215,764.845
216,768.527
217,772.261
218,775.602
219,778.942
220,782.612
221,786.326
222,789.996
223,793.338
224,797.041
225,800.405
226,804.147
227,807.498
228,810.847
229,814.550
230,818.263
231,821.617
232,825.335
233,828.995
234,832.683
235,836.359
236,840.021
237,843.389
238,846.852
239,850.470
240,854.136
241,857.484
242,861.180
243,864.851
244,868.526
245,871.886
246,875.231
247,878.572
248,882.253
249,885.601
250,889.290
251,892.633
252,895.979
253,899.721
254,903.418
255,906.828
256,910.511
257,913.863
258,917.204
259,920.957
260,924.655
261,928.003
262,931.770
263,935.144
264,938.496
265,941.897
266,945.594
267,949.326
268,953.008
269,956.359
270,960.079
271,963.760
272,967.533
273,971.371
274,975.204
275,978.641
276,982.178
277,985.565
278,989.376
279,992.773
280,996.514
281,999.917
282,1003.373
283,1007.074
284,1010.794
285,1014.181
286,1017.896
287,1021.279
288,1024.686
289,1028.064
290,1031.479
291,1035.196
292,1038.941
293,1042.655
294,1046.040
295,1049.438
296,1053.186
297,1056.934
298,1060.747
299,1064.475
300,1068.307
