ID,LENGTH,START,END,#SEG_NORM,#POS_NORM,#SEG_SUB,#POS_SUB,#SEG_CONF,#POS_CONF,#SEG_DIRECTED,#POS_DIRECTED
1,18,0,17,0,0,0,0,0,0,1,12
2,27,0,26,0,0,0,0,0,0,1,17
3,30,0,29,0,0,0,0,0,0,1,14
4,36,0,35,1,27,0,0,0,0,0,0
5,63,0,62,1,42,0,0,0,0,1,15
8,13,1,13,0,0,1,12,0,0,0,0
9,12,0,11,1,12,0,0,0,0,0,0
10,122,0,121,3,83,1,17,0,0,1,11
11,21,1,21,0,0,0,0,0,0,1,11
12,25,0,24,0,0,0,0,0,0,1,14
13,58,0,57,2,26,1,29,0,0,0,0
14,39,0,38,1,29,0,0,0,0,0,0
15,18,0,17,0,0,1,18,0,0,0,0
16,261,0,260,4,156,3,87,1,12,0,0
17,35,0,34,1,12,1,18,0,0,0,0
18,14,0,13,0,0,1,11,0,0,0,0
19,30,0,29,0,0,0,0,0,0,1,12
20,45,0,44,1,39,0,0,0,0,0,0
21,76,0,75,1,29,0,0,0,0,2,31
22,22,0,21,1,10,0,0,0,0,1,12
23,55,0,54,1,37,0,0,0,0,1,18
24,33,0,32,1,10,1,14,0,0,0,0
25,50,0,49,1,19,0,0,0,0,1,30
26,134,0,133,5,75,0,0,1,13,3,39
27,11,0,10,0,0,1,11,0,0,0,0
28,117,1,117,4,84,2,22,0,0,1,11
29,47,0,46,1,22,0,0,0,0,1,19
30,18,0,17,0,0,0,0,0,0,0,0
33,23,0,22,1,13,0,0,0,0,0,0
34,47,1,47,1,19,0,0,0,0,1,19
35,13,1,13,0,0,0,0,0,0,0,0
36,19,0,18,0,0,1,12,0,0,0,0
37,38,0,37,1,13,0,0,1,12,0,0
39,11,0,10,1,11,0,0,0,0,0,0
40,23,0,22,1,14,0,0,0,0,0,0
42,56,0,55,1,46,0,0,1,10,0,0
43,49,0,48,1,49,0,0,0,0,0,0
45,66,2,67,1,23,0,0,0,0,1,36
46,94,3,96,2,23,1,68,0,0,0,0
47,26,0,25,0,0,0,0,0,0,0,0
48,25,2,26,0,0,0,0,0,0,1,25
49,51,3,53,0,0,1,13,0,0,0,0
54,27,0,26,1,10,1,17,0,0,0,0
55,42,2,43,1,15,1,21,0,0,0,0
