PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
4,8,36,14,49,NORM. DIFFUSION,9.506E-3,4.842,6.667,2.005,0.938,0.000,0.000,0.000,1.898,0.697,0.381,0.189,0.027,0.022,0.640,0.851,0.554
6,14,54,20,73,NORM. DIFFUSION,3.249E-2,5.473,6.712,1.826,0.959,0.002,0.061,0.093,2.417,0.773,0.915,0.220,0.015,0.030,0.782,0.920,0.599
8,22,45,13,57,NORM. DIFFUSION,9.126E-3,6.557,6.061,1.577,0.661,0.020,0.180,0.230,5.385,0.473,0.480,0.277,0.306,0.034,0.267,0.497,0.633
10,25,16,0,15,NORM. DIFFUSION,4.56E-3,1.542,7.325,2.106,0.564,0.007,0.090,0.128,2.315,0.218,-0.295,0.254,0.329,0.018,0.438,0.394,0.660
12,37,77,11,87,NORM. DIFFUSION,1.048E-2,2.777,7.495,2.006,0.903,0.002,0.061,0.077,1.667,0.626,0.455,0.234,0.047,0.016,0.836,0.943,0.605
14,39,16,1,16,NORM. DIFFUSION,4.211E-2,7.615,6.925,1.763,0.981,0.019,0.190,0.317,2.850,0.551,1.436,0.054,0.005,0.032,0.437,0.384,0.571
15,41,13,0,12,NORM. DIFFUSION,1.023E-1,6.754,7.052,1.724,0.964,0.060,0.282,0.453,1.587,1.461,-0.260,0.015,-0.069,0.036,0.971,0.997,0.721
16,43,16,0,15,NORM. DIFFUSION,2.027E-2,4.097,7.440,2.123,0.994,0.014,0.147,0.203,2.101,0.612,0.214,0.158,0.680,0.026,0.245,0.430,0.622
18,46,32,12,43,NORM. DIFFUSION,2.378E-2,7.355,1.157,1.732,0.821,0.011,0.124,0.187,3.410,0.758,0.090,0.002,0.108,0.025,0.746,0.903,0.654
19,49,13,26,38,NORM. DIFFUSION,1.743E-2,2.862,1.348,2.033,0.946,0.005,0.087,0.179,1.824,0.099,0.323,0.027,0.014,0.062,-0.022,-0.078,0.653
20,50,11,0,10,NORM. DIFFUSION,1.225E-1,4.647,0.891,1.440,0.914,0.153,0.495,0.841,1.904,1.456,-0.077,0.222,0.004,0.052,0.982,0.998,0.538
