PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
1,1,20,0,19,SUBDIFFUSION,1.464E-2,1.464,5.662,1.981,0.644,0.023,0.192,0.365,2.476,0.414,0.365,0.285,0.134,0.061,0.577,0.577,0.570
2,4,15,0,14,SUBDIFFUSION,1.103E-2,1.997,5.803,2.335,-0.227,0.002,0.054,0.109,1.929,0.369,-0.126,0.269,0.084,0.042,0.250,0.250,0.567
4,7,14,0,13,SUBDIFFUSION,2.122E-3,4.877,6.586,2.526,-0.227,0.032,0.212,0.165,1.962,0.429,-0.176,0.024,0.477,0.023,0.536,0.536,0.744
6,15,21,74,94,SUBDIFFUSION,2.101E-3,5.394,6.672,2.506,0.951,0.006,0.089,0.123,2.296,3.815E-12,-0.252,0.294,0.884,0.038,-0.042,-0.042,0.606
8,21,12,1,12,SUBDIFFUSION,8.645E-4,6.620,5.973,2.313,-0.079,0.028,0.197,0.195,2.628,6.206E-12,0.027,0.049,0.482,0.022,-0.105,-0.105,0.725
14,40,17,17,33,SUBDIFFUSION,3.655E-3,7.614,6.882,2.201,-0.227,0.003,0.073,0.120,3.263,0.038,0.381,0.003,0.724,0.048,-0.014,-0.014,0.614
18,45,12,0,11,SUBDIFFUSION,4.922E-2,7.023,1.093,2.256,0.829,0.048,0.251,0.560,1.310,0.807,-0.054,0.059,0.245,0.047,0.948,0.948,0.644
29,77,15,31,45,SUBDIFFUSION,1.134E-3,7.149,2.299,2.032,0.712,0.018,0.162,0.154,2.696,4.576E-11,0.952,0.068,1.610,0.020,-0.071,-0.071,0.568
30,81,36,16,51,SUBDIFFUSION,1.314E-3,5.022,2.610,2.804,-0.227,2.296E-4,0.019,0.019,2.126,0.017,0.589,0.113,0.454,0.037,-0.019,-0.019,0.617
32,89,15,10,24,SUBDIFFUSION,2.334E-2,5.853,1.739,1.663,0.315,0.091,0.349,0.677,1.581,0.631,-0.007,0.464,0.112,0.053,0.940,0.940,0.578
36,102,13,0,12,SUBDIFFUSION,1.56E-2,5.458,3.151,2.212,0.622,0.023,0.174,0.330,2.511,0.500,-0.133,0.110,0.837,0.039,0.390,0.390,0.676
38,107,12,12,23,SUBDIFFUSION,1.927E-3,3.877,2.913,3.135,-0.227,0.020,0.154,0.138,1.212,0.356,-0.252,0.032,1.709,0.024,0.282,0.282,0.700
