PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
2,2,10,19,28,DIRECTED/ACTIVE,3.051E-2,0.179,1.536,3.860,1.475,0.800,0.120,0.428,0.529,1.092,0.820,0.174,0.483,-0.130,0.041,1.000,0.954,0.605
4,5,13,1,13,DIRECTED/ACTIVE,7.952E-2,4.238E-6,5.148,3.037,1.503,0.131,0.092,0.379,0.842,1.098,0.672,0.970,0.348,0.010,0.053,0.738,0.857,0.653
7,16,14,0,13,DIRECTED/ACTIVE,2.634E-2,0.435,4.451,4.751,1.454,0.494,0.100,0.386,0.496,1.395,0.688,0.659,0.485,-0.033,0.018,0.945,0.727,0.527
8,20,16,0,15,DIRECTED/ACTIVE,3.675E-2,0.896,3.820,5.212,1.302,0.440,0.152,0.492,0.771,1.197,1.262,0.660,0.653,-0.061,0.035,0.972,0.971,0.638
8,22,16,30,45,DIRECTED/ACTIVE,7.28E-2,8.725E-6,4.035,5.692,1.321,0.624,0.077,0.380,0.674,1.252,1.049,0.247,0.533,-0.074,0.039,0.942,0.925,0.642
8,24,13,66,78,DIRECTED/ACTIVE,3.989E-2,0.412,4.591,5.757,1.468,0.595,0.059,0.320,0.457,1.259,0.928,0.768,0.545,0.137,0.016,0.951,0.969,0.584
15,53,12,17,28,DIRECTED/ACTIVE,3.332E-2,0.442,1.703,5.577,1.414,-0.121,0.182,0.496,0.806,1.439,0.911,-0.082,0.611,-0.086,0.037,0.696,0.719,0.626
16,59,11,53,63,DIRECTED/ACTIVE,3.627E-3,3.475E-6,7.229,5.465,1.280,-0.227,0.114,0.604,0.215,1.509,0.318,1.083,0.549,0.067,0.009,0.000,0.483,0.559
17,62,20,2,21,DIRECTED/ACTIVE,3.618E-2,0.423,4.614,5.050,1.409,0.656,0.067,0.308,0.443,1.358,1.027,-0.062,0.573,-0.043,0.015,0.980,0.986,0.646
17,64,12,66,77,DIRECTED/ACTIVE,4.594E-2,0.820,4.683,4.813,1.796,0.832,0.067,0.312,0.570,1.999,1.118,0.243,0.143,0.008,0.035,0.949,0.959,0.610
17,67,19,100,118,DIRECTED/ACTIVE,5.761E-2,0.374,4.141,4.278,1.327,0.541,0.091,0.340,0.572,1.648,1.182,0.295,0.541,-0.041,0.020,0.978,0.992,0.705
21,75,13,0,12,DIRECTED/ACTIVE,4.987E-2,2.130E-5,2.477,7.668,1.429,0.412,0.128,0.474,0.762,1.259,0.866,0.205,0.452,-0.072,0.035,0.885,0.929,0.521
