PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) CONF. RADIUS,(FIT) A [CONF. SHAPE],(FIT) B (CONF SHAPE),(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
5,11,16,12,27,CONFINED,1.246,0.999,26.230,6.602E-5,4.082,2.555,2.852,0.870,0.016,0.136,0.101,1.981,0.330,-0.141,0.062,0.343,0.023,0.563,0.710,0.682
9,38,11,6,16,CONFINED,0.033,0.019,0.017,1.508E-11,0.604,4.855,3.566,-0.227,0.023,0.191,0.096,1.316,3.965E-12,-0.167,0.199,0.600,0.015,-0.364,-0.125,0.733
11,48,24,5,28,CONFINED,0.041,2.073E-8,0.030,2.097E-3,6.223,5.750,2.905,0.768,0.000,0.000,0.000,1.869,7.808E-12,0.278,0.041,3.974,0.018,-0.077,-0.036,0.579
11,50,11,76,86,CONFINED,0.053,0.014,0.021,2.687E-11,6.204,5.807,4.178,-0.227,0.004,0.078,0.068,1.553,9.011E-11,-0.138,0.003,4.000,0.035,-0.364,-0.125,0.810
11,52,13,100,112,CONFINED,0.050,0.017,0.016,4.066E-13,6.277,5.735,4.221,-0.227,0.008,0.095,0.080,1.826,1.738E-11,-0.360,0.008,1.467,0.027,-0.222,-0.087,0.852
15,58,17,32,48,CONFINED,0.036,0.012,0.009,4.517E-12,0.689,4.024,5.175,0.978,0.004,0.076,0.043,1.202,3.793E-12,-0.289,0.016,0.738,0.019,-0.138,-0.059,0.679
15,61,15,107,121,CONFINED,0.051,0.026,0.057,3.434E-12,0.733,4.080,3.129,-0.227,0.024,0.166,0.146,2.102,7.432E-12,-0.268,0.096,1.586,0.029,-0.167,-0.071,0.869
17,66,12,0,11,CONFINED,0.617,0.991,0.453,1.953E-3,0.470,0.863,3.163,-0.227,0.028,0.184,0.185,1.870,0.093,-0.246,0.029,1.027,0.030,-0.150,0.025,0.692
26,87,12,1,12,CONFINED,0.180,0.019,0.017,6.885E-12,4.870,6.897,3.375,0.999,8.251E-4,0.034,0.087,2.264,1.823E-11,0.076,0.124,1.636,0.092,-0.267,-0.105,0.717
44,127,11,5,15,CONFINED,0.055,0.015,0.009,3.758E-11,0.989,1.131,3.948,-0.227,0.005,0.080,0.068,1.818,1.067E-10,-0.206,9.456E-4,3.600,0.028,-0.364,-0.125,0.768
47,137,17,40,56,CONFINED,0.032,0.018,0.017,1.738E-11,1.242,3.101,3.573,-0.227,0.005,0.096,0.043,0.923,1.123E-10,-0.030,0.253,0.831,0.017,-0.138,-0.059,0.685
51,149,11,20,30,CONFINED,0.113,0.016,0.018,4.344E-11,3.749,3.942,3.891,0.978,0.022,0.167,0.280,2.284,3.028E-10,-0.248,0.020,0.400,0.051,-0.364,-0.125,0.793
