PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
5,12,40,28,67,DIRECTED/ACTIVE,2.601E-2,1.487E-6,4.235,2.510,1.293,0.459,0.098,0.397,0.363,5.289,1.119,1.184,0.452,-0.075,0.025,0.614,0.838,0.654
5,14,19,95,113,DIRECTED/ACTIVE,2.791E-2,0.765,4.581,2.042,1.543,0.664,0.063,0.305,0.478,2.254,1.107,0.132,0.012,-0.059,0.030,0.948,0.948,0.627
7,24,15,13,27,DIRECTED/ACTIVE,2.329E-2,1.346,2.531,3.341,1.173,0.469,0.155,0.487,0.838,1.240,1.525,0.385,0.670,-0.130,0.041,0.985,0.982,0.670
9,41,12,42,53,DIRECTED/ACTIVE,3.37E-2,1.071,0.433,4.950,1.409,0.679,0.136,0.480,0.782,1.615,0.905,0.403,0.355,-0.096,0.047,0.955,0.771,0.665
19,78,35,23,57,DIRECTED/ACTIVE,2.646E-2,0.488,3.357,0.241,1.316,0.474,0.067,0.337,0.333,2.109,1.413,0.862,0.496,-0.099,0.026,0.988,0.995,0.685
27,89,15,0,14,DIRECTED/ACTIVE,7.345E-2,1.404E-5,0.915,0.179,1.337,0.036,0.090,0.371,0.740,1.457,0.686,-0.158,0.553,0.385,0.042,0.643,0.616,0.651
33,98,18,1,18,DIRECTED/ACTIVE,8.615E-2,9.911E-6,6.442,2.400,1.260,0.705,0.173,0.537,0.967,1.355,1.184,0.934,0.445,0.021,0.050,0.888,0.942,0.666
34,101,17,19,35,DIRECTED/ACTIVE,2.698E-2,1.338E-5,0.654,2.544,1.328,-0.227,0.112,0.408,0.544,1.630,0.794,0.145,0.552,0.041,0.037,0.721,0.721,0.675
39,112,13,2,14,DIRECTED/ACTIVE,3.853E-2,0.785,0.892,7.720,1.413,0.279,0.117,0.413,0.726,1.714,0.977,-0.202,0.196,0.047,0.026,0.880,0.896,0.682
41,118,18,23,40,DIRECTED/ACTIVE,3.303E-2,1.037,5.664,1.147,1.465,0.570,0.093,0.345,0.699,1.238,1.189,-0.171,0.389,-0.078,0.036,0.954,0.944,0.643
46,132,14,17,30,DIRECTED/ACTIVE,5.759E-2,2.377,6.731,3.466,1.473,0.892,0.062,0.331,0.866,1.884,1.523,0.752,0.052,0.145,0.075,0.982,0.985,0.613
51,148,11,9,19,DIRECTED/ACTIVE,5.735E-2,1.976E-6,3.531,3.942,1.289,0.055,0.142,0.433,0.894,1.325,0.845,-0.044,0.630,0.049,0.020,-2.842,0.750,0.679
54,152,12,3,14,DIRECTED/ACTIVE,6.648E-2,6.665E-7,2.723,4.333,1.401,-0.047,0.139,0.462,0.966,1.273,0.775,-0.054,0.406,-0.018,0.050,0.602,0.749,0.491
61,164,30,38,67,DIRECTED/ACTIVE,3.369E-2,0.710,2.169,3.187,1.241,0.492,0.129,0.487,0.631,2.321,1.302,1.120,0.538,-0.041,0.030,0.968,0.983,0.586
62,166,13,9,21,DIRECTED/ACTIVE,7.31E-2,4.023E-6,3.600,2.388,1.465,0.749,0.049,0.276,0.535,1.159,1.059,-0.204,0.421,0.050,0.030,0.931,0.944,0.585
64,167,14,10,23,DIRECTED/ACTIVE,4.162E-2,0.716,0.429,7.923,1.375,0.471,0.054,0.370,0.493,1.441,0.846,1.080,0.476,5.551E-17,0.052,0.886,0.873,0.548
77,215,11,14,24,DIRECTED/ACTIVE,6.528E-2,1.216,5.385,4.665,1.262,0.825,0.178,0.594,1.075,3.845,1.630,0.663,0.563,-0.107,0.041,1.000,0.967,0.608
80,217,11,23,33,DIRECTED/ACTIVE,1.414E-1,2.065E-5,0.407,7.760,1.320,0.699,0.150,0.573,1.294,1.451,0.767,0.498,0.379,-0.018,0.060,0.978,0.981,0.559
91,242,21,34,54,DIRECTED/ACTIVE,5.306E-2,5.113E-6,0.048,2.411,1.368,0.585,0.075,0.417,0.602,2.030,0.647,1.075,0.506,0.128,0.068,0.909,0.703,0.582
94,248,12,26,37,DIRECTED/ACTIVE,8.219E-2,2.246,5.113,0.897,1.374,0.767,0.156,0.491,1.443,1.514,1.351,-0.067,0.445,-0.105,0.063,0.982,0.981,0.613
100,258,16,34,49,DIRECTED/ACTIVE,5.841E-2,1.543,1.993,3.300,1.235,0.672,0.197,0.566,1.186,1.354,1.355,1.378,0.555,-0.057,0.054,0.993,0.982,0.656
121,301,14,57,70,DIRECTED/ACTIVE,7.371E-2,1.405,2.191,5.803,1.422,0.764,0.121,0.430,0.992,1.317,1.022,0.656,0.334,-0.021,0.035,0.993,0.877,0.540
