ID,LENGTH,START,END,#SEG_NORM,#POS_NORM,#SEG_SUB,#POS_SUB,#SEG_CONF,#POS_CONF,#SEG_DIRECTED,#POS_DIRECTED
1,34,0,33,0,0,1,30,0,0,0,0
2,28,0,27,0,0,1,18,0,0,0,0
4,29,0,28,0,0,1,15,0,0,0,0
5,125,0,124,2,39,0,0,1,16,2,59
6,22,0,21,1,13,0,0,0,0,0,0
7,154,0,153,2,44,2,75,0,0,1,15
8,34,0,33,1,19,0,0,0,0,0,0
9,68,0,67,2,26,1,13,1,11,1,12
10,24,0,23,1,20,0,0,0,0,0,0
11,116,0,115,0,0,2,60,3,48,0,0
13,16,0,15,1,16,0,0,0,0,0,0
15,126,0,125,2,46,1,37,2,32,0,0
17,24,0,23,1,12,0,0,1,12,0,0
18,30,0,29,1,17,0,0,0,0,0,0
19,64,0,63,1,17,0,0,0,0,1,35
21,12,0,11,1,12,0,0,0,0,0,0
22,16,0,15,0,0,1,13,0,0,0,0
23,26,0,25,0,0,1,16,0,0,0,0
26,16,0,15,0,0,0,0,1,12,0,0
27,44,0,43,1,21,0,0,0,0,1,15
28,18,0,17,1,16,0,0,0,0,0,0
29,13,0,12,0,0,1,13,0,0,0,0
33,19,0,18,0,0,0,0,0,0,1,18
34,36,0,35,1,10,0,0,0,0,1,17
35,32,0,31,1,20,0,0,0,0,0,0
36,36,0,35,1,12,1,24,0,0,0,0
38,64,0,63,1,48,1,15,0,0,0,0
39,14,2,15,0,0,0,0,0,0,1,13
40,16,4,19,1,13,0,0,0,0,0,0
41,91,2,92,1,14,2,37,0,0,1,18
43,13,2,14,1,11,0,0,0,0,0,0
44,15,4,18,0,0,0,0,1,11,0,0
45,12,7,18,1,12,0,0,0,0,0,0
46,29,2,30,0,0,1,15,0,0,1,14
47,71,4,74,1,24,0,0,1,17,0,0
48,12,2,13,1,12,0,0,0,0,0,0
49,21,7,27,0,0,1,21,0,0,0,0
50,13,2,14,0,0,1,13,0,0,0,0
51,38,7,44,0,0,1,10,1,11,1,11
54,14,3,16,0,0,0,0,0,0,1,12
56,27,2,28,0,0,1,20,0,0,0,0
59,23,8,30,1,14,0,0,0,0,0,0
61,62,9,70,1,29,0,0,0,0,1,30
62,13,9,21,0,0,0,0,0,0,1,13
64,17,10,26,0,0,0,0,0,0,1,14
65,12,9,20,1,12,0,0,0,0,0,0
66,21,8,28,0,0,1,16,0,0,0,0
67,137,11,147,2,50,3,57,0,0,0,0
68,73,13,85,1,12,2,49,0,0,0,0
69,17,13,29,0,0,1,11,0,0,0,0
71,19,13,31,0,0,1,18,0,0,0,0
72,21,13,33,0,0,1,18,0,0,0,0
74,26,18,43,0,0,1,20,0,0,0,0
75,13,15,27,1,13,0,0,0,0,0,0
76,16,18,33,0,0,0,0,1,13,0,0
77,12,13,24,0,0,0,0,0,0,1,11
80,17,19,35,0,0,0,0,0,0,1,11
81,35,21,55,1,27,0,0,0,0,0,0
82,21,21,41,1,19,0,0,0,0,0,0
86,41,23,63,0,0,1,32,0,0,0,0
88,20,25,44,0,0,1,14,0,0,0,0
89,50,24,73,1,18,1,24,0,0,0,0
91,32,24,55,0,0,0,0,0,0,1,21
92,35,26,60,0,0,1,24,0,0,0,0
94,12,26,37,0,0,0,0,0,0,1,12
98,247,35,281,0,0,2,185,2,55,0,0
99,25,30,54,1,21,0,0,0,0,0,0
100,26,34,59,0,0,0,0,0,0,1,16
107,11,41,51,0,0,1,11,0,0,0,0
109,12,40,51,0,0,1,12,0,0,0,0
110,82,40,121,1,10,3,54,1,12,0,0
111,49,42,90,1,42,0,0,0,0,0,0
112,19,43,61,0,0,1,11,0,0,0,0
113,77,43,119,1,43,0,0,1,13,0,0
114,17,44,60,0,0,0,0,0,0,0,0
118,12,47,58,1,12,0,0,0,0,0,0
119,18,44,61,0,0,1,18,0,0,0,0
121,40,47,86,1,10,1,16,0,0,1,14
122,15,47,61,1,12,0,0,0,0,0,0
123,11,50,60,1,11,0,0,0,0,0,0
125,13,44,56,0,0,1,13,0,0,0,0
126,26,51,76,1,26,0,0,0,0,0,0
127,15,51,65,1,15,0,0,0,0,0,0
129,11,51,61,1,11,0,0,0,0,0,0
132,17,56,72,0,0,0,0,0,0,0,0
133,15,56,70,0,0,0,0,1,12,0,0
135,12,55,66,0,0,0,0,0,0,1,12
137,23,59,81,0,0,0,0,0,0,1,14
138,27,61,87,0,0,0,0,0,0,1,20
139,19,59,77,1,17,0,0,0,0,0,0
140,11,60,70,1,11,0,0,0,0,0,0
142,11,62,72,0,0,0,0,1,11,0,0
146,34,65,98,2,20,0,0,0,0,1,13
148,17,65,81,0,0,0,0,0,0,1,13
149,52,64,115,1,22,1,30,0,0,0,0
150,24,66,89,1,11,1,10,0,0,0,0
152,50,67,116,2,29,1,19,0,0,0,0
153,27,69,95,1,22,0,0,0,0,0,0
154,13,69,81,0,0,0,0,0,0,1,13
157,22,70,91,1,18,0,0,0,0,0,0
158,12,75,86,1,12,0,0,0,0,0,0
159,37,75,111,1,33,0,0,0,0,0,0
160,43,73,115,0,0,0,0,0,0,1,31
162,84,77,160,0,0,2,50,2,21,0,0
163,23,74,96,1,20,0,0,0,0,0,0
164,16,81,96,1,16,0,0,0,0,0,0
167,36,83,118,1,18,1,15,0,0,0,0
168,23,82,104,0,0,1,18,0,0,0,0
169,65,84,148,2,33,1,13,0,0,0,0
170,25,86,110,1,11,0,0,0,0,1,13
171,33,86,118,0,0,0,0,0,0,1,26
172,18,88,105,1,16,0,0,0,0,0,0
174,11,85,95,0,0,0,0,0,0,1,11
175,63,90,152,1,17,1,41,0,0,0,0
176,13,90,102,0,0,1,11,0,0,0,0
177,25,90,114,0,0,1,15,0,0,0,0
178,58,92,149,1,25,1,18,0,0,0,0
179,28,95,122,1,15,1,11,0,0,0,0
181,34,94,127,0,0,0,0,1,16,1,13
182,22,97,118,0,0,1,12,0,0,0,0
183,11,98,108,1,11,0,0,0,0,0,0
186,16,101,116,0,0,0,0,0,0,0,0
189,17,100,116,1,14,0,0,0,0,0,0
190,15,99,113,1,15,0,0,0,0,0,0
191,11,103,113,1,11,0,0,0,0,0,0
192,38,104,141,1,23,0,0,1,11,0,0
193,41,104,144,1,25,1,16,0,0,0,0
195,16,107,122,1,13,0,0,0,0,0,0
196,11,107,117,0,0,1,11,0,0,0,0
197,13,106,118,1,11,0,0,0,0,0,0
198,12,107,118,1,11,0,0,0,0,0,0
200,12,109,120,0,0,1,12,0,0,0,0
202,86,109,194,1,13,2,51,1,14,0,0
203,15,109,123,0,0,1,13,0,0,0,0
204,33,106,138,1,30,0,0,0,0,0,0
205,46,108,153,1,40,0,0,0,0,0,0
206,12,108,119,0,0,0,0,0,0,1,12
207,45,109,153,1,20,0,0,0,0,1,15
210,15,104,118,0,0,1,11,0,0,0,0
214,45,116,160,1,26,1,11,0,0,0,0
215,76,117,192,1,45,1,21,0,0,0,0
217,33,118,150,0,0,1,28,0,0,0,0
218,16,118,133,0,0,1,13,0,0,0,0
221,12,120,131,1,12,0,0,0,0,0,0
222,19,120,138,1,11,0,0,0,0,0,0
224,12,124,135,1,12,0,0,0,0,0,0
225,22,124,145,1,18,0,0,0,0,0,0
226,17,124,140,0,0,0,0,0,0,1,17
227,59,124,182,0,0,1,41,1,17,0,0
228,12,123,134,0,0,0,0,0,0,1,12
229,32,121,152,1,12,1,18,0,0,0,0
230,15,127,141,0,0,0,0,0,0,1,15
231,66,128,193,0,0,2,49,0,0,1,15
233,15,127,141,1,15,0,0,0,0,0,0
236,24,132,155,1,14,0,0,0,0,0,0
240,23,132,154,1,20,0,0,0,0,0,0
241,14,128,141,1,14,0,0,0,0,0,0
242,20,133,152,1,15,0,0,0,0,0,0
243,28,133,160,0,0,0,0,0,0,1,18
244,32,133,164,1,13,1,14,0,0,0,0
245,30,131,160,0,0,1,24,0,0,0,0
246,68,136,203,1,19,1,10,0,0,1,21
248,74,136,209,1,64,0,0,0,0,1,10
250,47,143,189,1,44,0,0,0,0,0,0
251,25,140,164,0,0,0,0,0,0,0,0
252,11,143,153,0,0,1,11,0,0,0,0
253,61,142,202,0,0,1,59,0,0,0,0
255,12,140,151,1,12,0,0,0,0,0,0
256,16,139,154,0,0,0,0,0,0,1,12
258,23,143,165,0,0,1,23,0,0,0,0
260,100,142,241,1,17,2,65,0,0,0,0
262,35,144,178,1,11,1,15,0,0,0,0
263,25,144,168,0,0,0,0,0,0,1,19
264,15,146,160,0,0,0,0,0,0,1,15
266,15,147,161,1,11,0,0,0,0,0,0
267,19,148,166,0,0,0,0,0,0,1,14
269,19,148,166,0,0,1,16,0,0,0,0
270,52,148,199,0,0,1,44,0,0,0,0
271,20,149,168,1,14,0,0,0,0,0,0
272,15,153,167,1,15,0,0,0,0,0,0
273,24,152,175,0,0,1,22,0,0,0,0
274,16,147,162,1,11,0,0,0,0,0,0
275,69,149,217,1,11,1,10,0,0,1,39
277,19,149,167,0,0,0,0,0,0,0,0
278,20,157,176,0,0,0,0,0,0,0,0
280,78,159,236,2,43,1,13,0,0,1,22
282,12,160,171,1,11,0,0,0,0,0,0
285,53,159,211,2,36,1,17,0,0,0,0
288,19,155,173,1,18,0,0,0,0,0,0
289,17,162,178,1,12,0,0,0,0,0,0
291,58,162,219,1,15,1,40,0,0,0,0
292,13,165,177,0,0,0,0,0,0,1,12
293,14,165,178,0,0,0,0,0,0,1,12
294,42,165,206,1,20,0,0,0,0,1,22
295,47,164,210,1,24,0,0,0,0,1,21
297,27,164,190,0,0,1,26,0,0,0,0
298,76,167,242,1,44,1,30,0,0,0,0
299,15,167,181,1,15,0,0,0,0,0,0
300,29,163,191,0,0,1,18,0,0,0,0
301,19,169,187,1,12,0,0,0,0,0,0
302,43,169,211,0,0,1,18,0,0,1,12
304,15,163,177,0,0,1,11,0,0,0,0
306,19,170,188,0,0,0,0,0,0,1,18
308,11,175,185,1,11,0,0,0,0,0,0
309,14,174,187,0,0,0,0,0,0,1,14
312,11,173,183,0,0,0,0,0,0,1,11
313,11,171,181,1,11,0,0,0,0,0,0
315,13,176,188,1,13,0,0,0,0,0,0
317,23,177,199,0,0,0,0,0,0,1,15
318,24,177,200,0,0,1,14,0,0,0,0
320,11,176,186,0,0,1,11,0,0,0,0
321,11,176,186,0,0,0,0,0,0,1,11
323,25,182,206,1,13,0,0,1,12,0,0
324,13,179,191,0,0,0,0,0,0,1,13
327,29,179,207,0,0,1,10,1,12,0,0
329,38,183,220,1,24,0,0,0,0,0,0
330,11,183,193,1,11,0,0,0,0,0,0
332,14,183,196,1,11,0,0,0,0,0,0
333,11,187,197,1,11,0,0,0,0,0,0
334,13,188,200,0,0,1,11,0,0,0,0
338,65,186,250,1,41,1,14,0,0,0,0
339,30,191,220,1,20,0,0,0,0,0,0
340,89,190,278,1,16,3,55,0,0,0,0
347,28,189,216,0,0,1,19,0,0,0,0
349,44,196,239,1,20,0,0,0,0,1,20
350,34,195,228,1,17,1,11,0,0,0,0
351,11,195,205,1,11,0,0,0,0,0,0
352,51,194,244,1,11,0,0,0,0,1,29
