PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
1,2,23,5,27,NORM. DIFFUSION,4.741E-2,5.183,6.816,1.755,0.660,0.033,0.231,0.472,1.473,0.664,0.509,0.228,0.122,0.039,0.859,0.898,0.542
3,9,18,1,18,NORM. DIFFUSION,1.495E-2,3.902,7.064,1.683,0.843,0.024,0.211,0.179,3.814,0.867,0.339,0.115,0.206,0.019,0.644,0.822,0.639
4,14,38,0,37,NORM. DIFFUSION,3.355E-2,4.329,6.772,1.646,0.860,0.026,0.218,0.325,1.611,0.739,1.241,0.394,0.155,0.037,0.578,0.828,0.617
5,16,26,0,25,NORM. DIFFUSION,5.913E-3,6.349,7.231,1.811,0.422,0.033,0.237,0.139,1.769,0.784,-1.554E-15,0.050,0.229,0.013,0.847,0.872,0.562
8,26,16,0,15,NORM. DIFFUSION,2.85E-2,0.502,7.045,1.508,0.944,0.019,0.198,0.446,2.646,0.437,0.696,0.261,0.757,0.036,0.076,0.293,0.605
9,30,12,0,11,NORM. DIFFUSION,7.471E-4,5.640,7.447,1.846,-0.227,0.028,0.333,0.062,3.529,0.449,1.444,0.693,0.345,0.006,0.442,0.263,0.548
10,34,14,15,28,NORM. DIFFUSION,9.922E-2,0.934,7.603,1.585,0.977,0.033,0.219,0.422,1.548,1.178,0.376,0.398,-0.045,0.041,0.849,0.903,0.680
13,36,12,0,11,NORM. DIFFUSION,1.93E-2,4.417,1.727,1.747,0.287,0.043,0.254,0.433,1.647,0.351,-0.016,0.187,-0.061,0.030,0.098,0.099,0.546
20,58,16,4,19,NORM. DIFFUSION,3.364E-2,3.207,2.618,1.679,0.658,0.039,0.253,0.568,1.464,0.438,0.597,0.274,0.282,0.048,0.714,0.735,0.630
21,65,27,42,68,NORM. DIFFUSION,7.597E-3,6.847,3.262,1.912,0.932,0.001,0.045,0.037,1.984,0.741,-0.071,0.462,0.258,0.016,0.594,0.795,0.622
