PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
6,16,14,85,98,SUBDIFFUSION,1.449E-2,4.571,1.711,2.237,0.596,0.010,0.131,0.216,2.072,0.500,0.844,0.086,0.286,0.053,0.901,0.901,0.638
6,18,12,154,165,SUBDIFFUSION,1.003E-3,4.290,1.870,3.308,0.990,0.006,0.094,0.062,1.008,0.204,-0.120,0.016,0.255,0.024,0.256,0.256,0.620
7,22,12,0,11,SUBDIFFUSION,1.421E-3,3.490,2.010,2.565,-0.227,0.014,0.146,0.087,1.681,0.449,-0.389,0.089,0.891,0.017,0.263,0.263,0.514
8,27,11,1,11,SUBDIFFUSION,1.833E-3,5.305,2.076,3.053,0.994,0.002,0.050,0.068,2.222,6.533E-12,-0.456,0.059,1.520,0.036,-0.125,-0.125,0.510
10,28,18,0,17,SUBDIFFUSION,4.318E-3,4.300,2.751,2.275,-0.103,0.004,0.082,0.113,2.893,0.227,0.854,0.310,1.271,0.031,0.083,0.083,0.528
10,33,14,80,93,SUBDIFFUSION,1.262E-3,4.903,2.617,2.963,0.836,0.019,0.160,0.165,1.733,0.013,-0.052,0.043,0.218,0.031,-0.079,-0.079,0.721
10,35,62,120,181,SUBDIFFUSION,3.066E-3,4.865,2.661,2.666,-0.227,0.001,0.042,0.050,2.934,0.159,0.351,0.015,0.996,0.044,0.238,0.238,0.626
11,36,11,0,10,SUBDIFFUSION,1.746E-3,1.273,3.145,2.508,-0.227,0.015,0.139,0.192,1.638,6.519E-11,-0.236,0.014,0.236,0.032,-0.125,-0.125,0.692
12,37,25,0,24,SUBDIFFUSION,3.059E-3,7.880,3.520,3.356,0.994,0.004,0.077,0.102,1.327,0.097,0.192,0.242,0.125,0.032,-0.003,-0.003,0.480
14,43,31,10,40,SUBDIFFUSION,2.209E-3,4.441,3.724,2.527,0.802,0.003,0.067,0.072,3.065,0.081,0.954,0.104,0.442,0.032,0.026,0.026,0.583
14,45,17,59,75,SUBDIFFUSION,1.146E-3,4.400,3.536,2.667,-0.227,0.003,0.056,0.043,2.624,0.261,-0.294,0.031,0.519,0.022,0.481,0.481,0.694
14,50,26,129,154,SUBDIFFUSION,5.906E-4,4.414,3.500,2.388,0.510,0.000,0.000,0.000,2.868,0.132,0.233,0.023,0.171,0.019,0.063,0.063,0.548
37,72,19,10,28,SUBDIFFUSION,2.026E-3,5.280,6.318,1.916,0.884,0.016,0.167,0.169,2.568,0.110,1.262,0.225,1.324,0.033,-0.032,-0.032,0.541
44,77,28,19,46,SUBDIFFUSION,4.223E-3,4.284,7.263,2.479,-0.227,0.001,0.039,0.056,1.776,0.217,0.102,0.318,1.119,0.053,0.214,0.214,0.678
51,83,17,23,39,SUBDIFFUSION,2.576E-3,1.040,7.419,2.159,0.343,0.003,0.063,0.095,3.373,3.533E-11,0.033,0.160,2.214,0.050,-0.059,-0.059,0.691
56,98,22,46,67,SUBDIFFUSION,1.392E-2,7.762,3.522,1.997,0.918,0.022,0.190,0.205,4.142,0.761,1.833,0.152,0.067,0.030,0.981,0.981,0.628
58,100,12,27,38,SUBDIFFUSION,4.056E-3,7.113,2.000,1.788,0.888,0.042,0.275,0.498,2.437,5.181E-12,0.485,0.610,0.234,0.046,-0.105,-0.105,0.552
61,104,14,27,40,SUBDIFFUSION,2.375E-3,4.409,1.331,2.691,-0.227,0.002,0.056,0.074,1.859,0.039,-0.018,0.390,0.187,0.040,-0.075,-0.075,0.668
63,109,14,37,50,SUBDIFFUSION,1.126E-3,5.217,6.277,2.131,-0.227,0.006,0.101,0.074,2.164,0.194,0.039,0.072,0.364,0.021,0.375,0.375,0.603
68,123,12,41,52,SUBDIFFUSION,7.994E-4,2.043,5.863,3.255,0.880,0.007,0.095,0.087,1.735,1.476E-11,-0.236,0.103,0.891,0.028,-0.105,-0.105,0.601
72,128,13,76,88,SUBDIFFUSION,6.189E-4,4.317,5.686,3.032,-0.227,0.003,0.060,0.057,2.662,8.713E-12,-0.268,0.181,4.633,0.028,-0.087,-0.087,0.588
72,130,16,103,118,SUBDIFFUSION,1.127E-2,4.247,5.675,2.155,0.188,0.016,0.175,0.321,1.101,0.292,0.560,0.466,0.426,0.076,0.323,0.323,0.607
74,134,17,41,57,SUBDIFFUSION,4.1E-3,7.788,1.405,2.587,-0.227,0.005,0.079,0.175,1.809,0.016,-0.302,0.092,0.368,0.067,-0.058,-0.058,0.592
75,139,18,45,62,SUBDIFFUSION,5.428E-3,1.089,4.924,2.669,0.968,0.001,0.041,0.089,1.838,1.233E-11,-0.126,0.023,1.088,0.062,-0.054,-0.054,0.642
76,143,11,51,61,SUBDIFFUSION,2.849E-3,5.298,5.305,2.052,-0.227,0.000,0.000,0.000,2.526,2.239E-11,0.746,0.339,0.689,0.053,-0.125,-0.125,0.533
78,149,16,59,74,SUBDIFFUSION,1.837E-2,2.175,2.677,2.117,0.854,0.028,0.203,0.330,2.641,0.628,0.085,0.078,0.069,0.043,0.796,0.796,0.610
81,152,15,53,67,SUBDIFFUSION,2.378E-3,3.979,2.781,2.427,0.886,0.008,0.115,0.109,1.761,0.220,0.005,0.227,0.312,0.012,0.169,0.169,0.560
85,159,12,58,69,SUBDIFFUSION,3.2E-3,2.663,0.210,2.503,0.656,0.033,0.212,0.276,1.708,0.193,-0.220,0.088,0.936,0.042,0.587,0.587,0.632
87,165,11,115,125,SUBDIFFUSION,2.994E-3,4.465,4.124,3.070,-0.227,0.028,0.200,0.272,1.262,0.149,-0.191,0.165,1.100,0.048,-0.029,-0.029,0.616
100,178,12,99,110,SUBDIFFUSION,3.399E-3,2.177,5.900,1.875,0.067,0.042,0.231,0.391,1.447,0.043,-0.290,0.430,0.091,0.056,-0.096,-0.096,0.615
110,193,16,105,120,SUBDIFFUSION,1.659E-3,2.030,1.668,2.479,-0.227,0.004,0.073,0.101,1.950,3.327E-12,0.605,0.007,0.716,0.040,-0.065,-0.065,0.542
112,196,37,108,144,SUBDIFFUSION,2.251E-3,3.395,7.224,2.240,0.858,0.009,0.107,0.115,2.616,0.200,-0.176,0.199,1.149,0.029,0.176,0.176,0.710
114,197,11,117,127,SUBDIFFUSION,1.714E-3,3.240,1.229,1.780,0.434,0.099,0.365,0.340,1.476,0.213,-0.256,0.365,0.042,0.024,0.605,0.605,0.368
118,198,19,119,137,SUBDIFFUSION,5.195E-3,4.792,0.187,1.913,0.406,0.031,0.200,0.325,1.988,0.235,0.061,0.373,0.231,0.043,0.177,0.177,0.619
121,208,49,129,177,SUBDIFFUSION,5.987E-4,4.417,5.758,2.909,-0.227,0.000,0.000,0.000,3.581,7.676E-11,-0.047,0.032,0.550,0.024,-0.013,-0.013,0.650
121,210,12,190,201,SUBDIFFUSION,2.857E-3,4.383,5.727,1.967,0.651,0.018,0.167,0.138,1.457,0.428,0.483,0.349,0.032,0.022,0.505,0.505,0.612
123,213,11,136,146,SUBDIFFUSION,8.829E-3,5.080,6.622,1.986,0.237,0.001,0.040,0.068,2.966,0.370,0.123,0.287,2.960,0.031,0.808,0.808,0.720
137,222,11,168,178,SUBDIFFUSION,1.996E-3,0.818,6.116,2.382,-0.227,0.003,0.073,0.068,1.467,0.228,-0.204,0.120,0.160,0.026,0.363,0.363,0.876
138,224,13,170,182,SUBDIFFUSION,4.109E-3,4.415,3.695,1.909,-0.227,0.068,0.306,0.321,2.732,0.456,-0.037,0.218,0.345,0.029,0.394,0.394,0.686
138,226,51,216,266,SUBDIFFUSION,8.711E-4,4.525,3.504,3.032,-0.227,2.762E-4,0.020,0.014,2.490,0.150,0.263,0.019,0.476,0.021,0.204,0.204,0.620
139,230,13,170,182,SUBDIFFUSION,7.47E-4,5.043,6.606,3.069,-0.227,0.003,0.059,0.057,2.473,1.214E-11,-0.153,0.106,0.122,0.027,-0.087,-0.087,0.680
153,238,21,202,222,SUBDIFFUSION,1.139E-2,3.392,7.356,2.674,0.683,0.018,0.153,0.207,1.423,0.639,0.098,0.027,0.125,0.045,0.923,0.923,0.632
158,250,13,208,220,SUBDIFFUSION,2.985E-3,5.280,6.446,2.108,0.877,6.254E-4,0.034,0.057,3.767,1.306E-13,-0.072,0.314,0.166,0.056,-0.087,-0.087,0.650
163,251,11,211,221,SUBDIFFUSION,1.233E-3,0.015,7.058,1.846,-0.227,0.008,0.123,0.136,3.310,4.300E-12,0.733,0.074,-0.023,0.038,-0.125,-0.125,0.596
165,258,15,223,237,SUBDIFFUSION,1.088E-3,3.616,2.339,2.452,0.807,0.002,0.052,0.049,3.071,1.135E-11,0.270,0.008,1.657,0.030,-0.071,-0.071,0.708
178,267,17,265,281,SUBDIFFUSION,2.741E-3,5.285,4.252,1.924,0.986,9.337E-4,0.042,0.043,2.591,0.153,0.459,0.285,0.588,0.030,0.049,0.049,0.557
