ID,LENGTH,START,END,#SEG_NORM,#POS_NORM,#SEG_SUB,#POS_SUB,#SEG_CONF,#POS_CONF,#SEG_DIRECTED,#POS_DIRECTED
2,50,0,49,1,23,1,12,0,0,1,15
3,31,0,30,1,29,0,0,0,0,0,0
4,29,5,33,1,18,0,0,0,0,0,0
7,14,0,13,1,14,0,0,0,0,0,0
8,22,0,21,0,0,1,22,0,0,0,0
9,18,3,20,0,0,0,0,0,0,1,16
10,67,2,68,1,21,2,35,0,0,0,0
13,40,1,40,1,20,1,18,0,0,0,0
14,17,0,16,0,0,0,0,0,0,0,0
15,300,0,299,4,97,4,153,2,26,0,0
16,37,0,36,1,29,0,0,0,0,0,0
18,16,0,15,0,0,1,13,0,0,0,0
19,22,0,21,0,0,0,0,0,0,1,11
20,75,0,74,1,12,2,51,1,12,0,0
21,74,0,73,2,61,0,0,0,0,1,13
22,26,1,26,0,0,0,0,0,0,1,14
23,66,0,65,0,0,1,64,0,0,0,0
24,40,0,39,1,19,0,0,0,0,1,13
25,98,0,97,1,27,3,53,0,0,1,16
26,15,0,14,0,0,0,0,0,0,1,13
27,20,0,19,1,15,0,0,0,0,0,0
28,25,0,24,0,0,0,0,0,0,0,0
29,30,0,29,1,21,0,0,0,0,0,0
31,22,0,21,1,15,0,0,0,0,0,0
33,18,0,17,0,0,0,0,0,0,1,14
34,14,0,13,1,14,0,0,0,0,0,0
35,27,3,29,1,22,0,0,0,0,0,0
36,23,0,22,1,10,0,0,0,0,0,0
37,71,0,70,0,0,2,45,1,14,0,0
38,47,0,46,1,45,0,0,0,0,0,0
39,19,2,20,1,19,0,0,0,0,0,0
40,22,0,21,0,0,0,0,1,12,0,0
41,30,1,30,1,14,0,0,0,0,1,13
44,72,0,71,2,48,0,0,0,0,1,15
45,21,0,20,1,19,0,0,0,0,0,0
47,21,0,20,1,13,0,0,0,0,0,0
48,30,0,29,1,11,0,0,0,0,1,13
49,12,0,11,0,0,0,0,0,0,1,12
50,37,0,36,0,0,1,19,0,0,0,0
52,23,0,22,0,0,1,14,0,0,0,0
54,22,2,23,0,0,0,0,0,0,1,21
55,15,6,20,0,0,1,12,0,0,0,0
56,29,0,28,0,0,1,27,0,0,0,0
57,26,0,25,0,0,0,0,0,0,1,16
58,13,0,12,1,13,0,0,0,0,0,0
59,27,1,27,1,25,0,0,0,0,0,0
60,51,2,52,1,27,1,19,0,0,0,0
63,37,0,36,1,22,0,0,0,0,0,0
64,13,0,12,0,0,0,0,0,0,1,13
66,15,0,14,0,0,0,0,0,0,1,13
69,37,7,43,1,24,0,0,0,0,0,0
70,19,7,25,1,14,0,0,0,0,0,0
71,28,7,34,0,0,1,13,0,0,0,0
72,12,7,18,0,0,1,11,0,0,0,0
74,75,9,83,2,35,2,23,0,0,0,0
75,12,9,20,0,0,1,12,0,0,0,0
76,35,11,45,1,17,1,10,0,0,0,0
77,14,9,22,0,0,0,0,0,0,1,14
78,25,10,34,0,0,0,0,0,0,1,19
79,21,10,30,0,0,1,19,0,0,0,0
80,12,9,20,1,11,0,0,0,0,0,0
81,24,13,36,0,0,1,21,0,0,0,0
82,12,12,23,1,11,0,0,0,0,0,0
83,25,14,38,1,16,0,0,0,0,0,0
84,15,14,28,0,0,1,11,0,0,0,0
85,12,15,26,0,0,1,12,0,0,0,0
86,28,15,42,1,13,0,0,0,0,1,15
88,17,17,33,0,0,1,16,0,0,0,0
89,41,17,57,1,25,0,0,0,0,1,14
93,29,18,46,0,0,1,12,0,0,0,0
94,37,18,54,0,0,2,27,1,10,0,0
95,22,18,39,1,10,1,12,0,0,0,0
97,39,22,60,1,14,0,0,0,0,0,0
100,20,20,39,1,16,0,0,0,0,0,0
103,13,24,36,0,0,1,11,0,0,0,0
104,11,23,33,0,0,0,0,0,0,1,11
106,16,24,39,0,0,0,0,0,0,1,11
107,18,24,41,1,11,0,0,0,0,0,0
108,11,28,38,1,11,0,0,0,0,0,0
110,23,26,48,0,0,1,14,0,0,0,0
111,38,27,64,1,24,1,12,0,0,0,0
114,15,25,39,1,15,0,0,0,0,0,0
115,13,25,37,0,0,1,13,0,0,0,0
