PARENT-ID,ID,LENGTH,START,END,CLASS,(FIT) D,(FIT) Velocity,X (COG),Y (COG),FRACT. DIM.,TRAPPEDNESS,EFFICENCY,STRAIGHTNESS,SPEED,KURTOSIS,(FIT) ALPHA,GAUSSIANITY,Asymmetry,MSDRatio,Loc. noise_sigma,Fit Goodness,Alpha Fit Goodness,Confidence
8,10,18,1,18,DIRECTED/ACTIVE,2.79E-2,1.324E-6,7.887,0.187,1.644,0.887,0.003,0.078,0.080,1.928,0.846,1.100,0.288,0.037,0.028,0.948,0.970,0.623
9,12,14,0,13,DIRECTED/ACTIVE,5.039E-2,6.525E-6,5.240,0.300,1.229,0.937,0.108,0.533,0.585,1.547,1.241,2.214,0.650,-0.123,0.033,0.656,0.899,0.551
11,15,13,14,26,DIRECTED/ACTIVE,4.556E-2,0.842,7.538,0.926,1.362,0.787,0.126,0.462,0.726,1.528,1.331,0.328,0.215,-0.053,0.035,1.000,0.994,0.653
12,17,18,32,49,DIRECTED/ACTIVE,3.914E-2,2.449E-6,2.422,1.376,1.779,0.965,0.007,0.097,0.144,1.623,0.726,0.548,0.453,0.039,0.020,0.734,0.760,0.617
12,20,15,88,102,DIRECTED/ACTIVE,1.066E-2,1.805,1.880,1.605,1.426,0.890,0.054,0.300,0.622,1.189,1.176,0.822,0.391,0.002,0.050,0.787,0.820,0.567
13,21,11,0,10,DIRECTED/ACTIVE,2.38E-2,0.860,2.964,1.935,1.616,0.971,0.016,0.160,0.204,1.906,1.190,0.146,0.501,-0.033,0.031,1.000,0.973,0.590
17,25,15,0,14,DIRECTED/ACTIVE,2.52E-3,0.485,4.251,3.557,1.201,0.398,0.252,0.643,0.401,1.181,1.468,0.210,0.621,-0.137,0.021,0.962,0.942,0.643
30,55,15,50,64,DIRECTED/ACTIVE,4.029E-2,0.978,0.379,4.883,1.264,0.600,0.150,0.576,0.824,1.301,1.206,2.881,0.389,-0.024,0.036,0.989,0.972,0.615
33,64,16,7,22,DIRECTED/ACTIVE,1.199E-2,1.943,6.222,1.037,1.424,0.838,0.101,0.410,0.912,1.148,1.259,1.105,0.599,-0.046,0.042,0.861,0.929,0.603
37,71,14,5,18,DIRECTED/ACTIVE,4.049E-2,1.025,4.786,7.089,1.224,0.625,0.233,0.592,0.973,1.543,1.405,-0.141,0.463,-0.077,0.019,1.000,1.000,0.795
46,89,14,15,28,DIRECTED/ACTIVE,1.366E-2,0.399,1.257,4.554,1.355,0.599,0.179,0.495,0.468,1.546,1.147,0.083,0.499,-0.100,0.025,0.996,0.996,0.620
55,101,15,32,46,DIRECTED/ACTIVE,2.97E-2,1.826,4.379,1.867,1.181,0.486,0.230,0.608,1.347,1.121,1.489,0.323,0.663,-0.125,0.056,0.964,0.975,0.676
65,109,11,21,31,DIRECTED/ACTIVE,6.936E-2,0.527,5.069,6.436,1.455,0.803,0.084,0.362,0.680,1.103,1.206,0.818,0.360,0.109,0.007,1.000,0.989,0.568
