 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,null,Polyline,none,182,113,1,1,1,green,none,0,7,0,7,0
2,1,null,Polyline,none,182,112,1,2,2,green,none,0,8,0,8,0
3,2,null,Polyline,none,181,112,2,2,3,green,none,0,9,0,9,0
4,3,null,Polyline,none,181,112,2,3,4,green,none,0,10,0,10,0
5,4,null,Polyline,none,181,112,5,3,5,green,none,0,11,0,11,0
6,5,null,Polyline,none,181,112,5,3,6,green,none,0,12,0,12,0
7,6,null,Polyline,none,181,112,5,3,7,green,none,0,13,0,13,0
8,7,null,Polyline,none,181,111,5,4,8,green,none,0,14,0,14,0
9,8,null,Polyline,none,181,111,6,4,9,green,none,0,15,0,15,0
10,9,null,Polyline,none,181,111,6,4,10,green,none,0,16,0,16,0
11,10,null,Polyline,none,181,111,6,4,11,green,none,0,17,0,17,0
12,11,null,Polyline,none,181,111,6,4,12,green,none,0,18,0,18,0
13,12,null,Polyline,none,181,111,6,4,12,green,none,0,19,0,19,0
14,13,null,Polyline,none,181,111,6,4,12,green,none,0,20,0,20,0
15,14,null,Polyline,none,181,111,6,4,12,green,none,0,21,0,21,0
16,15,null,Polyline,none,181,111,6,4,12,green,none,0,22,0,22,0
17,16,null,Polyline,none,181,111,6,4,12,green,none,0,23,0,23,0
18,17,null,Polyline,none,181,111,6,4,12,green,none,0,24,0,24,0
19,18,null,Polyline,none,181,111,6,4,12,green,none,0,25,0,25,0
20,19,null,Polyline,none,181,111,6,4,12,green,none,0,26,0,26,0
21,20,null,Polyline,none,181,111,6,4,12,green,none,0,27,0,27,0
22,21,null,Polyline,none,181,111,6,4,12,green,none,0,28,0,28,0
23,22,null,Polyline,none,186,112,1,1,1,red,none,0,19,0,19,0
24,23,null,Polyline,none,185,111,2,2,2,red,none,0,20,0,20,0
25,24,null,Polyline,none,184,111,3,2,3,red,none,0,21,0,21,0
26,25,null,Polyline,none,184,111,3,3,4,red,none,0,22,0,22,0
27,26,null,Polyline,none,184,106,3,8,5,red,none,0,23,0,23,0
28,27,null,Polyline,none,184,106,3,8,6,red,none,0,24,0,24,0
29,28,null,Polyline,none,182,106,5,8,7,red,none,0,25,0,25,0
30,29,null,Polyline,none,182,106,5,8,8,red,none,0,26,0,26,0
31,30,null,Polyline,none,177,106,10,8,9,red,none,0,27,0,27,0
32,31,null,Polyline,none,173,106,14,8,10,red,none,0,28,0,28,0
33,32,null,Polyline,none,173,106,14,8,10,red,none,0,29,0,29,0
34,33,null,Polyline,none,173,106,14,8,10,red,none,0,30,0,30,0
35,34,null,Polyline,none,173,106,14,8,10,red,none,0,31,0,31,0
36,35,null,Polyline,none,173,106,14,8,10,red,none,0,32,0,32,0
37,36,null,Polyline,none,173,106,14,8,10,red,none,0,33,0,33,0
38,37,null,Polyline,none,173,106,14,8,10,red,none,0,34,0,34,0
39,38,null,Polyline,none,173,106,14,8,10,red,none,0,35,0,35,0
40,39,null,Polyline,none,173,106,14,8,10,red,none,0,36,0,36,0
41,40,null,Polyline,none,173,106,14,8,10,red,none,0,37,0,37,0
42,41,null,Polyline,none,173,106,14,8,10,red,none,0,38,0,38,0
43,42,null,Polyline,none,173,106,14,8,10,red,none,0,39,0,39,0
44,43,null,Polyline,none,173,106,14,8,10,red,none,0,40,0,40,0
45,44,null,Polyline,none,199,122,1,1,1,red,none,0,3,0,3,0
46,45,null,Polyline,none,199,122,1,2,2,red,none,0,4,0,4,0
47,46,null,Polyline,none,199,122,1,2,3,red,none,0,5,0,5,0
48,47,null,Polyline,none,199,122,1,2,4,red,none,0,6,0,6,0
49,48,null,Polyline,none,199,122,1,2,5,red,none,0,7,0,7,0
50,49,null,Polyline,none,199,121,1,3,6,red,none,0,8,0,8,0
51,50,null,Polyline,none,199,120,1,4,7,red,none,0,9,0,9,0
52,51,null,Polyline,none,199,120,1,4,8,red,none,0,10,0,10,0
53,52,null,Polyline,none,199,120,1,4,9,red,none,0,11,0,11,0
54,53,null,Polyline,none,199,120,1,5,10,red,none,0,12,0,12,0
55,54,null,Polyline,none,197,120,3,6,11,red,none,0,13,0,13,0
56,55,null,Polyline,none,99,133,1,1,1,red,none,0,7,0,7,0
