ID,LENGTH,START,END,#SEG_NORM,#POS_NORM,#SEG_SUB,#POS_SUB,#SEG_CONF,#POS_CONF,#SEG_DIRECTED,#POS_DIRECTED
1,22,6,27,1,10,1,12,0,0,0,0
2,11,2,12,1,11,0,0,0,0,0,0
4,35,0,34,1,29,0,0,0,0,0,0
5,18,0,17,0,0,0,0,0,0,1,16
6,30,0,29,1,22,0,0,0,0,0,0
7,14,5,18,1,14,0,0,0,0,0,0
8,13,0,12,1,13,0,0,0,0,0,0
9,25,1,25,1,10,0,0,1,11,0,0
10,43,0,42,1,33,0,0,0,0,0,0
11,28,0,27,0,0,1,18,0,0,0,0
12,23,0,22,1,23,0,0,0,0,0,0
13,32,0,31,1,13,1,14,0,0,0,0
14,14,4,17,0,0,1,10,0,0,0,0
15,18,0,17,1,18,0,0,0,0,0,0
16,100,0,99,2,51,2,49,0,0,0,0
17,23,0,22,1,11,0,0,0,0,0,0
18,22,0,21,0,0,1,12,0,0,0,0
19,36,0,35,0,0,1,22,0,0,1,10
20,35,0,34,1,14,1,12,0,0,0,0
22,48,0,47,1,28,0,0,0,0,1,20
23,21,0,20,1,18,0,0,0,0,0,0
24,49,0,48,0,0,1,34,1,10,0,0
25,40,2,41,0,0,0,0,0,0,1,37
27,53,0,52,0,0,1,20,1,20,0,0
28,13,0,12,1,13,0,0,0,0,0,0
29,12,0,11,0,0,0,0,0,0,1,11
31,23,2,24,0,0,1,17,0,0,0,0
32,17,0,16,1,15,0,0,0,0,0,0
34,17,0,16,0,0,0,0,0,0,1,15
37,12,3,14,0,0,1,12,0,0,0,0
39,22,0,21,0,0,1,21,0,0,0,0
40,16,1,16,0,0,1,11,0,0,0,0
41,84,0,83,2,32,0,0,0,0,2,48
42,23,0,22,0,0,0,0,0,0,1,13
43,19,0,18,1,15,0,0,0,0,0,0
44,13,0,12,0,0,1,11,0,0,0,0
47,14,7,20,0,0,0,0,0,0,1,13
48,42,7,48,0,0,1,22,0,0,1,18
49,12,7,18,1,12,0,0,0,0,0,0
51,18,9,26,0,0,1,15,0,0,0,0
53,45,10,54,1,31,0,0,0,0,1,12
58,12,10,21,1,12,0,0,0,0,0,0
59,25,15,39,1,11,0,0,0,0,0,0
61,18,16,33,1,13,0,0,0,0,0,0
64,15,16,30,1,12,0,0,0,0,0,0
66,12,18,29,0,0,1,11,0,0,0,0
68,21,17,37,0,0,0,0,0,0,0,0
69,31,18,48,1,11,1,10,0,0,0,0
70,19,21,39,1,13,0,0,0,0,0,0
72,42,19,60,0,0,0,0,0,0,1,40
74,13,22,34,0,0,0,0,0,0,1,11
75,92,22,113,0,0,1,86,0,0,0,0
76,21,21,41,0,0,0,0,0,0,1,20
83,25,25,49,1,15,0,0,0,0,0,0
84,24,25,48,1,22,0,0,0,0,0,0
88,60,28,87,1,14,1,38,0,0,0,0
90,12,28,39,1,12,0,0,0,0,0,0
91,25,30,54,0,0,0,0,0,0,1,15
93,42,37,78,1,40,0,0,0,0,0,0
94,26,32,57,1,12,0,0,0,0,1,14
95,13,32,44,0,0,0,0,0,0,1,13
98,18,34,51,1,14,0,0,0,0,0,0
99,12,34,45,0,0,0,0,0,0,1,11
100,16,32,47,0,0,0,0,1,16,0,0
101,11,38,48,0,0,0,0,0,0,1,11
104,15,31,45,1,13,0,0,0,0,0,0
105,11,39,49,0,0,0,0,0,0,1,11
106,29,38,66,1,26,0,0,0,0,0,0
109,35,40,74,0,0,0,0,1,31,0,0
112,31,43,73,0,0,1,16,0,0,0,0
113,27,43,69,1,12,0,0,0,0,1,15
115,14,43,56,0,0,1,14,0,0,0,0
116,56,43,98,0,0,1,33,0,0,0,0
117,38,43,80,0,0,1,14,0,0,1,13
118,17,43,59,1,14,0,0,0,0,0,0
123,12,46,57,0,0,1,11,0,0,0,0
124,38,46,83,0,0,0,0,0,0,1,18
125,18,46,63,0,0,0,0,0,0,1,15
126,32,46,77,1,12,1,18,0,0,0,0
127,16,46,61,1,13,0,0,0,0,0,0
130,14,50,63,1,13,0,0,0,0,0,0
132,16,48,63,0,0,1,13,0,0,0,0
134,22,49,70,0,0,0,0,0,0,1,21
140,11,49,59,0,0,0,0,0,0,1,11
142,11,52,62,1,11,0,0,0,0,0,0
149,11,60,70,0,0,0,0,0,0,1,11
151,31,59,89,0,0,1,13,0,0,0,0
154,27,59,85,0,0,0,0,0,0,1,23
155,70,58,127,2,21,1,23,1,11,1,15
156,16,61,76,0,0,0,0,0,0,1,15
157,31,61,91,0,0,0,0,0,0,1,31
159,11,62,72,0,0,0,0,1,11,0,0
162,23,64,86,0,0,0,0,0,0,1,13
164,18,70,87,1,11,0,0,0,0,0,0
165,14,68,81,1,14,0,0,0,0,0,0
168,18,66,83,1,11,0,0,0,0,0,0
170,19,70,88,0,0,1,17,0,0,0,0
171,44,67,110,1,17,1,18,0,0,0,0
173,15,72,86,0,0,1,12,0,0,0,0
174,32,71,102,1,14,0,0,0,0,0,0
179,22,77,98,1,12,0,0,0,0,0,0
180,89,76,164,0,0,1,54,1,35,0,0
182,18,78,95,0,0,1,15,0,0,0,0
184,94,74,167,2,40,1,10,1,14,1,17
189,11,82,92,1,11,0,0,0,0,0,0
194,37,84,120,0,0,0,0,0,0,1,29
195,12,84,95,0,0,1,11,0,0,0,0
197,14,87,100,1,13,0,0,0,0,0,0
198,16,87,102,0,0,1,11,0,0,0,0
205,21,91,111,0,0,0,0,0,0,1,12
206,68,94,161,1,12,2,47,0,0,0,0
210,17,95,111,1,11,0,0,0,0,0,0
213,28,93,120,1,17,0,0,0,0,0,0
214,16,96,111,0,0,1,16,0,0,0,0
217,17,99,115,1,17,0,0,0,0,0,0
218,23,99,121,1,18,0,0,0,0,0,0
219,54,99,152,2,37,1,13,0,0,0,0
220,34,100,133,0,0,1,20,0,0,0,0
225,11,103,113,1,11,0,0,0,0,0,0
226,46,104,149,1,29,0,0,0,0,1,16
227,12,107,118,0,0,1,12,0,0,0,0
229,14,106,119,0,0,0,0,0,0,1,12
235,12,104,115,1,11,0,0,0,0,0,0
237,12,112,123,0,0,0,0,0,0,1,12
238,48,111,158,1,24,1,15,0,0,0,0
239,11,109,119,1,11,0,0,0,0,0,0
240,82,110,191,2,34,2,37,0,0,0,0
241,28,112,139,1,11,0,0,0,0,0,0
244,24,110,133,0,0,0,0,0,0,1,24
245,23,113,135,1,10,0,0,0,0,1,13
250,12,116,127,0,0,1,11,0,0,0,0
251,22,116,137,0,0,1,14,0,0,0,0
259,11,121,131,0,0,1,11,0,0,0,0
260,15,122,136,1,15,0,0,0,0,0,0
263,18,123,140,1,17,0,0,0,0,0,0
268,11,128,138,1,11,0,0,0,0,0,0
269,12,134,145,0,0,0,0,1,12,0,0
273,22,139,160,1,14,0,0,0,0,0,0
274,34,138,171,0,0,1,21,0,0,0,0
276,85,141,225,2,50,1,19,0,0,1,16
278,15,143,157,0,0,1,15,0,0,0,0
282,13,142,154,1,11,0,0,0,0,0,0
287,17,149,165,0,0,0,0,0,0,1,17
288,14,151,164,0,0,1,12,0,0,0,0
289,13,150,162,1,12,0,0,0,0,0,0
291,35,153,187,0,0,1,26,0,0,0,0
292,27,153,179,1,22,0,0,0,0,0,0
293,13,155,167,1,12,0,0,0,0,0,0
294,55,156,210,1,22,1,33,0,0,0,0
299,29,159,187,0,0,0,0,0,0,1,17
300,16,162,177,1,15,0,0,0,0,0,0
301,15,162,176,0,0,1,14,0,0,0,0
307,16,165,180,0,0,0,0,0,0,0,0
309,33,167,199,0,0,1,13,0,0,1,14
312,18,169,186,0,0,0,0,0,0,1,13
316,57,174,230,1,57,0,0,0,0,0,0
319,19,175,193,0,0,0,0,1,14,0,0
322,13,179,191,0,0,1,13,0,0,0,0
323,14,179,192,0,0,1,12,0,0,0,0
325,96,179,274,1,23,1,18,0,0,2,36
328,59,180,238,1,11,0,0,0,0,1,37
333,15,186,200,0,0,1,11,0,0,0,0
336,16,191,206,0,0,1,12,0,0,0,0
344,16,188,203,1,15,0,0,0,0,0,0
346,14,197,210,1,14,0,0,0,0,0,0
347,30,195,224,1,20,0,0,0,0,0,0
350,21,200,220,1,12,0,0,0,0,0,0
351,12,201,212,1,12,0,0,0,0,0,0
355,14,207,220,0,0,1,14,0,0,0,0
356,12,206,217,0,0,1,11,0,0,0,0
357,11,206,216,1,11,0,0,0,0,0,0
361,15,213,227,1,11,0,0,0,0,0,0
362,14,215,228,0,0,1,12,0,0,0,0
364,75,216,290,0,0,1,14,0,0,1,55
370,12,224,235,0,0,1,12,0,0,0,0
373,15,221,235,0,0,0,0,0,0,1,12
376,11,232,242,0,0,1,11,0,0,0,0
377,18,232,249,1,10,0,0,0,0,0,0
378,27,228,254,1,14,1,12,0,0,0,0
380,37,235,271,1,19,1,14,0,0,0,0
381,18,234,251,1,15,0,0,0,0,0,0
382,13,234,246,0,0,1,11,0,0,0,0
385,25,242,266,1,18,0,0,0,0,0,0
388,12,244,255,0,0,1,12,0,0,0,0
389,25,248,272,1,24,0,0,0,0,0,0
390,18,251,268,0,0,0,0,0,0,1,15
393,17,249,265,1,17,0,0,0,0,0,0
394,19,255,273,1,11,0,0,0,0,0,0
397,36,256,291,1,11,1,20,0,0,0,0
401,12,256,267,0,0,1,11,0,0,0,0
404,14,261,274,1,12,0,0,0,0,0,0
407,13,266,278,0,0,0,0,0,0,1,13
408,26,269,294,1,10,1,15,0,0,0,0
