"PARENT.ID","ID","LENGTH","START","END","CLASS","X.FIT..D","X..COG.","Y..COG.","FRACT..DIM.","TRAPPEDNESS","EFFICENCY","STRAIGHTNESS","SPEED","KURTOSIS","X.FIT..ALPHA","GAUSSIANITY","Asymmetry","MSDRatio","Loc..noise_sigma","Fit.Goodness","Alpha.Fit.Goodness","Confidence","COND"
5,11,16,12,27,"CONFINED",6.602e-05,4.082,2.555,2.852,0.87,0.016,0.136,0.101,1.981,0.33,-0.141,0.062,0.343,0.023,0.563,0.71,0.682,"BeforeLatB1"
9,38,11,6,16,"CONFINED",1.508e-11,0.604,4.855,3.566,-0.227,0.023,0.191,0.096,1.316,3.965e-12,-0.167,0.199,0.6,0.015,-0.364,-0.125,0.733,"BeforeLatB1"
11,48,24,5,28,"CONFINED",0.002097,6.223,5.75,2.905,0.768,0,0,0,1.869,7.808e-12,0.278,0.041,3.974,0.018,-0.077,-0.036,0.579,"BeforeLatB1"
11,50,11,76,86,"CONFINED",2.687e-11,6.204,5.807,4.178,-0.227,0.004,0.078,0.068,1.553,9.011e-11,-0.138,0.003,4,0.035,-0.364,-0.125,0.81,"BeforeLatB1"
11,52,13,100,112,"CONFINED",4.066e-13,6.277,5.735,4.221,-0.227,0.008,0.095,0.08,1.826,1.738e-11,-0.36,0.008,1.467,0.027,-0.222,-0.087,0.852,"BeforeLatB1"
15,58,17,32,48,"CONFINED",4.517e-12,0.689,4.024,5.175,0.978,0.004,0.076,0.043,1.202,3.793e-12,-0.289,0.016,0.738,0.019,-0.138,-0.059,0.679,"BeforeLatB1"
15,61,15,107,121,"CONFINED",3.434e-12,0.733,4.08,3.129,-0.227,0.024,0.166,0.146,2.102,7.432e-12,-0.268,0.096,1.586,0.029,-0.167,-0.071,0.869,"BeforeLatB1"
17,66,12,0,11,"CONFINED",0.001953,0.47,0.863,3.163,-0.227,0.028,0.184,0.185,1.87,0.093,-0.246,0.029,1.027,0.03,-0.15,0.025,0.692,"BeforeLatB1"
26,87,12,1,12,"CONFINED",6.885e-12,4.87,6.897,3.375,0.999,0.0008251,0.034,0.087,2.264,1.823e-11,0.076,0.124,1.636,0.092,-0.267,-0.105,0.717,"BeforeLatB1"
44,127,11,5,15,"CONFINED",3.758e-11,0.989,1.131,3.948,-0.227,0.005,0.08,0.068,1.818,1.067e-10,-0.206,0.0009456,3.6,0.028,-0.364,-0.125,0.768,"BeforeLatB1"
47,137,17,40,56,"CONFINED",1.738e-11,1.242,3.101,3.573,-0.227,0.005,0.096,0.043,0.923,1.123e-10,-0.03,0.253,0.831,0.017,-0.138,-0.059,0.685,"BeforeLatB1"
51,149,11,20,30,"CONFINED",4.344e-11,3.749,3.942,3.891,0.978,0.022,0.167,0.28,2.284,3.028e-10,-0.248,0.02,0.4,0.051,-0.364,-0.125,0.793,"BeforeLatB1"
