spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,spot_12,spot_13,spot_14,spot_15,frame
104.0385,107.7115,105.4808,103.3462,104.1346,103.4808,102.75,104.7115,104.2885,112.4808,106.5769,105.3269,103.6154,104.7308,105.9231,103.6923,0
101.8654,109.0385,106.3846,103.4615,103.7115,102.5192,103.5769,106.3077,104.4615,113.4038,108.0769,106.0962,103.7692,103.2308,104.8654,104.9615,1
102.8462,103.2692,104.6731,103,103.2308,104.2885,103,106.2115,103.7115,117.0385,106.6923,107.1923,103.1346,103.9038,104.25,103.0962,2
103.5192,104.5,104.6538,102.4423,104.25,105.0962,103.7885,105.5769,104.0962,111.75,107.3846,104.8846,103.5192,104.0192,103.3654,104.7692,3
102.9615,103.5577,103.3846,103.2308,103.9038,102.4808,103.7115,106.8846,103.6731,113.1538,105.8269,104.0769,103.5769,103.6923,103.9808,105.3077,4
103.1731,103.8846,103.9615,103.4231,102.8269,104.0577,104.4808,104.3462,104.3077,112.3077,105.9808,106.25,103.8077,103.7308,104.1154,102.9808,5
103.9231,103,103.8462,102.6346,103.4038,103.9231,103.3077,105.6731,103.5,110.8846,107.3269,106.2115,103.1731,103.6731,103.7885,105.3462,6
103.1346,104.7115,104.5192,103.5192,103.8077,103.6731,103.4231,104.6538,103.8269,111.1346,106.6346,103.9423,103,102.7115,104.4615,103.9808,7
103.1538,102.8654,104.8077,102.7308,103.0192,104.7692,103.0962,104.3077,103.5769,109.8846,106.8846,106.4038,103.5,103.3654,105,104.0192,8
103.1346,103.8077,103.7115,102.7692,103.9038,105.1538,103.5385,104.9615,104.3462,114.4808,108.0577,105.8269,103.6538,102.8846,105.8846,103.2115,9
103.4615,103.75,103.9808,102.8269,103.9808,104.3654,104.4038,104.3269,103.7308,112.5577,106.2115,104.0385,102.2885,103,104.4231,104.0385,10
102.3654,103.3846,104.2885,102.0962,104.5385,103.3654,103.6923,105.1731,104.5577,112.7885,106.25,104.8269,102.5192,103.4038,103.2115,104.3269,11
102.0385,103.6346,104.9423,102.0385,104.1154,104.0962,103.0962,105.5769,104.25,112.8077,105.9423,104.6731,102.5385,104.6154,103.4808,107.8462,12
103.6346,106.25,105.4038,103.3846,103,103.7885,103.5769,104.6923,103.1346,116.6923,106.0192,104.8077,102.7308,104.8654,104.1346,115.1731,13
102.8077,104.7115,103.7692,103.4231,103.0769,104,103.6923,105.5769,103.75,116.5,106.3462,105.1346,103.1346,103.4038,105.1731,117.2885,14
103.5385,102.5962,103.9808,103.6923,104.1346,102.3846,103.6346,104.1154,103.1731,116.8077,104.7115,105.8846,103.5192,103.7308,104.75,106.8462,15
102.9038,103.4423,102.6346,103.1538,103.5769,103.8654,103.5962,104.8462,105.0192,112.8077,105.0385,106.3269,102.7115,104.6346,105.0962,105.9231,16
102.9231,103.3654,103.4231,101.7308,103.6731,103.5385,103.3462,105.0769,103.6731,113.5962,105.1346,105.0577,102.2692,104.3269,104.4615,104.9038,17
102.6154,104.1346,104.0385,102.8269,104.3654,103.1923,103.9038,104.1346,105.0577,114.4615,104.5385,104.8077,103.4423,104.4423,104.4038,103.25,18
104.6923,103.75,103.25,102.6154,103.6923,103.5,104.2115,104.5385,104.5192,113.0962,105.6154,104.3654,101.9231,103.3269,105.1538,104.25,19
103.7308,102.7115,103.9615,103.2885,103.1538,102.9808,103.8077,105.6154,104.5,112.6731,105.5577,105.0962,102.8269,103.1538,104.8269,103.9615,20
103.5577,103.6538,103.1923,104.4423,104.1154,104.9423,103.1346,104.8077,104.8846,115.0962,104.7885,104.9038,103.1346,103.6923,103.5385,103.0192,21
104.2115,104.3846,103.6346,102.4808,103.25,104.8462,103.6731,105.5385,103.7885,117.0577,105.1731,103.5962,101.4615,103.6154,104.6731,102.7885,22
105.0769,104.0769,104.75,102.7885,104.8077,104.8077,103.9808,104.9615,104.2115,113.8269,106.2885,104.4808,103.75,102.9423,102.8462,104.4423,23
103.4615,103.1346,103.6923,103.8846,104,104.8269,102.8077,105.5962,103.5385,113.1731,106.3846,105.2692,103.2885,103.9808,112.1154,103.6346,24
104.8462,103.9808,106.3846,103.4231,104,104.4231,103.9231,105.1923,103.2692,113.7115,106.9231,105.25,103.75,105,105.8269,104.0385,25
104.25,114.8654,104.6923,102.5,103.6731,104.5962,103.9615,106.4038,104.4423,109.9038,106.3269,105.0769,102.3846,103.1731,104.0577,104.1923,26
114.8269,112.25,125.9038,102.9231,104.4423,104.2308,104.5,103.4615,103,110.5962,105.5577,104.6154,102.4423,103.7308,105.3269,104.5769,27
114.6154,107.5192,108.5385,102.0385,104.0385,104.0385,103.8269,104.3462,104.1538,110.4615,106.7692,104.1154,104.3269,104.0577,105.7885,103.3269,28
105.1346,105.0769,104.7692,103.6731,104.5962,102.6923,102.9038,104.5192,106.4423,111.0962,105.7115,105.1538,105.3462,104.5962,104.4808,104.5192,29
106.0769,103.1346,105.1731,126.0385,103.6346,103.4038,103.9808,103.5769,104.3462,105.3654,106.6538,104.2692,103.0962,115.9808,104.2885,104.3846,30
104.6154,103.5,104.5769,127.6538,102.8077,103.9038,103.3846,104.4038,104.8269,104.8654,105.8269,104.5962,103.0385,124.2885,103.3269,104.6154,31
102.8846,102.6731,105.1923,129.8654,103.1731,104.6154,105.6731,104.7692,106.25,103.9038,105.7885,103.8654,102.7885,123.4423,104.3269,103.25,32
104.3269,103.5,104.1731,129.25,102.75,104.1346,103.2885,105.4808,105.4231,103.6923,107.2308,104.8077,102.8462,120.9038,103.5192,104.1538,33
103.8462,101.7692,105.0577,128,104.5577,104.4231,103.9615,105.1538,104.5769,103.5577,106.4615,106.0769,103.4231,110.6154,103.3269,104.4615,34
103.4808,102.6346,104.3462,124.1923,116.6731,103.25,104.0769,104.5962,104.1538,104.1538,106.0769,106.5192,102.8269,104.8077,103.8269,103.6538,35
103.9808,103.0192,105.3654,118.6154,118.5385,104.0192,104.25,106.0385,104.4423,103.5962,107.5385,105.9231,101.8654,105.3269,102.5192,103.4231,36
104.1923,103.3654,104.9615,108.75,112.6538,104.3462,103.6538,107.3846,104.5962,104.2115,105.4808,104.8077,103.5,104.1731,103.6731,103.8077,37
103,102.4423,104.5962,103.8846,104.3269,102.7115,103.6346,106.6154,105.1923,104.75,105.5,105.6154,103.8269,103.2308,103.3654,104.0769,38
104.0769,102.1154,103.2692,106.0192,103.3077,102.9038,103.8846,105.4808,104.0769,105.1538,105.6923,105.6538,103.1731,103.1538,103.5962,103.8077,39
104.6538,103.4038,104.1538,104.2115,104,102.8654,102.9808,107.0192,103.5,103.9038,105.7885,106.6154,104.8269,103.3269,104.3462,103.6538,40
103.9808,103.8462,105.1154,103.5962,103.9038,104.2692,103.2885,103.7308,104.4615,104.0385,106.6154,106,102.6731,102.8462,102.4615,103.1731,41
103.5385,102.7308,105.0962,104.8269,102.4038,122.9423,113.1346,103.2885,103.9808,103.7885,104.9231,106.2115,104.6923,103.7308,102.8269,105.2115,42
102.9231,103.4423,104.0385,102.1923,104.0769,123.2308,126.6346,104.1154,105.5385,104.7692,105.4038,106.9615,103.2115,104.3077,104.8462,103.6154,43
102.6731,103.1923,104.6346,102.2308,102.4231,130.25,119.6346,105.5385,105.5385,105.8077,105.8654,105.3462,102.5962,104.1346,103.2115,104.1346,44
103.3269,103.1731,103.5962,103.3077,101.6923,131.5385,115.8654,105.3269,104.3269,105.2308,106.0385,105.0577,103.0192,104.7308,104.6923,103.4423,45
104.2885,103.0577,103.5192,102.8846,102.7115,134,111.2692,104.8269,105.3462,104.1346,105.2115,105.3654,103.25,104.2885,104.0769,103.8269,46
