spot_0,spot_1,spot_2,spot_3,spot_4,spot_5,spot_6,spot_7,spot_8,spot_9,spot_10,spot_11,frame
107.1731,105.5192,106.8269,102,104.4038,117.7885,108.3462,104.2692,107.1538,103.8462,117.4615,101.6731,0
105.0385,106.9038,106.1731,102.1538,104.2885,108.1346,108.5962,102.7115,106.0769,104.1923,116.7692,102.6923,1
105.8654,107.3462,105.25,102.6346,103.8077,107.4038,110.0769,103.1731,106.5577,103.3462,115.4231,100.3462,2
104.5962,106.2308,106.75,103.1923,105.2692,107.4038,109.6154,103.1538,105.8462,105.3846,115.0962,101.1538,3
104.8269,106.4423,105.4423,103.25,103.9423,106.2885,109.4231,101.3846,106.5192,105.1346,116.1154,102.5,4
103.9423,107.1154,104.9038,102.2115,104.25,106.8462,110.5769,102.4038,107.2692,103.9038,115.6154,104.3846,5
104.7885,107.6731,106.3654,102.6731,105.2885,107.5,110.5769,102.9615,107.1538,103.6923,116.0192,106.2885,6
105.4423,106.3846,104.2308,101.8269,103.9808,106.5,111.1538,102.1923,106.3846,104.3077,115.0192,105.9808,7
105.7115,107.8077,106.7692,102.8077,104.0769,106.7308,111.2885,103.6923,106.2885,104.75,115.6538,102.0192,8
104.4038,106.8077,105.9808,101.9038,104.2115,106.3462,124.6923,103.3462,104.8269,103.9615,116.4615,101.3462,9
105.6346,106.9615,106.3462,100.9808,102.8654,106.9231,108.2692,102.1346,104.0192,103.5385,115.7692,101.9423,10
137.4615,106.3269,106.1923,102.3077,102.8462,107.2115,106.8269,112.7115,105.75,104.5192,116.8077,102.75,11
112.6154,107.6923,106.3269,101.7692,102.7115,106.1346,105.7692,113.6538,105.5769,104,117.8077,102.1538,12
107.6923,106.2692,105.4231,101.5577,103.9038,106.5577,105.1346,103.3077,106,103.8077,113.9038,103.0385,13
105.3269,106.8846,104.7115,102.8269,103.9231,105.4808,106.3654,102.9808,106.3846,103.3077,114.0385,101.2115,14
105.0962,107.8269,105.0962,102.2308,103.7692,106.1923,105.4808,102.0577,106.9231,104.3269,113.9615,102.75,15
106,107.2115,105.7308,104.2692,103.4808,106.4423,104.9038,101.8077,107.0192,104.7308,115.3654,101,16
105.3654,107.5577,107.0769,101.5385,103.9038,105.3846,105.6538,102.4615,107.3654,103.8846,117.6538,101.5,17
106.1154,107.7115,107.1538,102,102.8269,105.6154,103.4423,102.2885,107.3462,104.0769,115.3269,101.3462,18
105.75,107.3077,106.6154,101.4808,104.2308,105.2692,103.0962,102.25,105.3462,104.8654,115.0385,101.1538,19
106.0962,107.3269,105,103.1154,104.1731,104.6346,105.2115,102.4808,107.1731,104,113.4038,101.2115,20
106.0962,106.2692,105.7692,103.3269,103.9038,105.9423,104.4038,103.0577,106.8269,104.7115,114.7308,101.7885,21
106.3462,106.5192,105.25,103.6346,103.1154,105.1731,104.1538,102.4615,105.2885,105.5385,115.4423,103.0962,22
105.25,108.3077,106.1731,101.3077,103.1346,105.7308,103.2885,101.4423,106.0192,104.1538,115.2692,101.9615,23
104.4038,108.1923,106.3462,102.1346,103.9423,105,103.0769,102.4038,106.75,151.2885,114.4038,102.4423,24
104.4808,107.9808,106.9231,102.2885,103.6154,104.3077,103.1154,102.2115,135.8269,148.9615,115.0577,102.6154,25
104.2692,107.7115,104.9808,102.3462,103.5385,103.8077,102.5577,102.5962,133.4231,150.9038,116.3462,103.1346,26
